Rank	Score	Penalty	Country	Name
25	100	-20586680067	Australia	jerrymao
31	100	-22450281222	Australia	dave.balmain
32	100	-23148318346	Australia	boboquack
78	100	-42059143461	Australia	ch41rmn
82	100	-43157570099	Australia	mgcsls
159	100	-65186347467	Australia	alberts
197	100	-71561042385	Australia	tangentz
326	100	-95058846643	Australia	lackofcheese
395	75	-12374503224	Australia	ja_kingy
403	75	-13572214828	Australia	ziruili
411	75	-15141944451	Australia	TianmingZhao
413	75	-15981750208	Australia	heidi@computerscience.co.nz
444	75	-22862333871	Australia	SpeedCoder001
477	75	-29592656558	Australia	Gomango999
500	75	-33704541923	Australia	erdnase
502	75	-34013345657	Australia	timothyhorsc
506	75	-34389550516	Australia	nugn
539	75	-39745111923	Australia	al_Jahy
791	75	-56770746780	Australia	JoelSpringer
1506	75	-72260481449	Australia	DarthRyry
1509	75	-72322637764	Australia	samuel01px2020
1988	75	-90461471717	Australia	vahid
2278	68	-9264219263	Australia	nervousginger
2311	68	-13263608574	Australia	kluxa
2313	68	-13275462036	Australia	Ali.Kh
2317	68	-13701123324	Australia	AngusRitossa
2325	68	-14109110622	Australia	mchlzhao
2331	68	-14533893026	Australia	trainsick
2333	68	-14748231995	Australia	DanielA
2349	68	-16321352402	Australia	Bos-Taurus
2376	68	-18253373420	Australia	ysfoo5
2393	68	-19155474768	Australia	Derp31415926
2434	68	-21951753061	Australia	HDSpray
2484	68	-25501381841	Australia	iiliffe
2511	68	-27276658587	Australia	cormacc
2541	68	-29188183563	Australia	cdli
2547	68	-29520489638	Australia	DrMeers
2568	68	-30403738385	Australia	Megumin
2569	68	-30426782024	Australia	clementchiu1116@gmail.com
2571	68	-30473420999	Australia	HaydenMuscat
2576	68	-30751663118	Australia	jarrjam
2603	68	-32170442385	Australia	Gej
2666	68	-35849603801	Australia	jum
2706	68	-38016754004	Australia	jbroeksteeg
2759	68	-39995846093	Australia	HenryLee
2806	68	-42227164871	Australia	Mheike86
2898	68	-45978420747	Australia	PeterP
2941	68	-47487127509	Australia	tan-eddie
2986	68	-49151816541	Australia	someonealive
3002	68	-49608414041	Australia	shannongreen
3127	68	-53868548304	Australia	usernameson
3382	68	-61645983646	Australia	jkk
3394	68	-62067812817	Australia	Mooncake
3429	68	-63155081700	Australia	Jam-W
3594	68	-66732704584	Australia	parker4cpk
3691	68	-69247068432	Australia	gilesg
3730	68	-70061400414	Australia	brick
3870	68	-73721624586	Australia	flowergrass
4141	68	-80971701940	Australia	vystrela
4219	68	-82837555700	Australia	nakahara
4396	68	-88788300627	Australia	JKSH
4444	68	-90483160481	Australia	sragavan
4619	68	-96902044657	Australia	Perce1
4621	68	-96930362573	Australia	pkunsw
4699	59	-17139823368	Australia	arthursun
4788	59	-65820476347	Australia	Jumbub
5043	52	-28968242200	Australia	heychell
5081	52	-39929173250	Australia	berger
5158	52	-53965095813	Australia	iliagsy
5199	52	-58412311061	Australia	kittie
5276	52	-67471810356	Australia	CraaazySteeeve
5347	52	-73557364372	Australia	Somniac
5560	52	-96416135272	Australia	sdort
5564	52	-96605077190	Australia	SuperTaiyaki
5578	52	-97638415202	Australia	ascholtes
5579	52	-97684334384	Australia	LukaDenies
5638	50	-43431669189	Australia	GavinJiang
6046	49	-5524414674	Australia	glipR_J
6179	49	-34983869982	Australia	Myridium
6268	49	-45325622511	Australia	emperormicah
6697	49	-65573357909	Australia	WarwickThug
7336	49	-89679719637	Australia	dmngu9
7374	49	-92493545268	Australia	anjsimmo
7471	49	-97649041580	Australia	Cumber
7475	49	-98067541287	Australia	harrysun2006
7522	43	-12980676609	Australia	obelic
7736	43	-40319453462	Australia	whileoneloop
7743	43	-41007190602	Australia	super_aiderton
7767	43	-43367494068	Australia	peperwme
7777	43	-44061739625	Australia	Dubzeh
7876	43	-50863722480	Australia	greendrizzle
7900	43	-52790369088	Australia	campbelltron
7916	43	-53387101331	Australia	uqcs2019
7934	43	-54031049000	Australia	OliverJohnson
8066	43	-60158535664	Australia	kalford
8159	43	-63845383686	Australia	bcccc
8226	43	-66394296798	Australia	__jordanu
8560	43	-80279649184	Australia	Ben28LH
8767	43	-88526887128	Australia	AldenB
8832	43	-91565466676	Australia	0hMyGh0st
8861	43	-93013331060	Australia	sindux
8875	43	-93680293636	Australia	bluelenny
8898	43	-94957383194	Australia	ollie3000
8987	43	-97614524974	Australia	Sezavar
8999	43	-98384130763	Australia	Drtnf
9084	42	-2513679273	Australia	RyanBraganza
9207	42	-3918392116	Australia	volik
9272	42	-4576578443	Australia	nmjw
9354	42	-5377345648	Australia	dubiousOnion
9439	42	-6137866559	Australia	jqxcz
9459	42	-6416272505	Australia	kve
9541	42	-7231208642	Australia	Max.Godfrey
9561	42	-7406758138	Australia	cwjameson
9578	42	-7588375601	Australia	dallasyan
9591	42	-7737568686	Australia	MarkPollock
9666	42	-8622571995	Australia	salaschen
9727	42	-9344280780	Australia	AmyZ
9728	42	-9346676303	Australia	spdskatr
9848	42	-10819461127	Australia	kzl6
10006	42	-12615934369	Australia	roboto100
10035	42	-12850248487	Australia	samma
10104	42	-13432107579	Australia	nlogloglogn
10130	42	-13751002603	Australia	HydraulicSheep
10165	42	-14095843921	Australia	Lj
10209	42	-14493612218	Australia	Bench.u
10254	42	-14922558302	Australia	EdwinLiu
10400	42	-16377977167	Australia	TheEpicCowOfLife
10467	42	-16965953875	Australia	Sharky564
10645	42	-18693843779	Australia	liam6
10674	42	-18925113491	Australia	Carlcodes
10707	42	-19234045421	Australia	Flipblade
10718	42	-19309699403	Australia	PwzXxm
10773	42	-19893722598	Australia	Dezyh
10774	42	-19901479817	Australia	jonoe
10783	42	-20000356962	Australia	10561066
10916	42	-21181713705	Australia	bluesky999
10929	42	-21244277801	Australia	EricChuang
10951	42	-21492139687	Australia	T.Rex
10982	42	-21730760671	Australia	FulminatingMoat
10999	42	-21832684754	Australia	MagnusJ
11008	42	-21908723871	Australia	stuarth
11115	42	-22929720367	Australia	WStar
11134	42	-23031215583	Australia	gjam
11209	42	-23630530314	Australia	Bingx
11232	42	-23744525384	Australia	jtcoder
11264	42	-23933297124	Australia	ccapitalK
11364	42	-24903885824	Australia	bananaphone
11462	42	-25659205472	Australia	katio
11487	42	-25803979883	Australia	ChaiSilva
11493	42	-25861484316	Australia	jamesx.ji@gmail.com
11532	42	-26235186013	Australia	Eightyeight
11568	42	-26437854505	Australia	Autonym
11670	42	-27072801683	Australia	dimkadimon
11671	42	-27079563872	Australia	fq_aaron@hotmail.com
11754	42	-27552774396	Australia	Neolas67
11874	42	-28353241409	Australia	ethryn
11921	42	-28664466643	Australia	ryanmark
11971	42	-28980901315	Australia	DingusTimmy
12179	42	-30052056438	Australia	dane
12279	42	-30504821761	Australia	PurplePixie
12458	42	-31484413673	Australia	ThePromisedNlogNLand
12519	42	-31772718813	Australia	Midataur
12542	42	-31931246327	Australia	Marshmallow
12553	42	-31978657712	Australia	komisan
12641	42	-32507519627	Australia	RaymondGuo
12660	42	-32654984887	Australia	gjc
12688	42	-32798264066	Australia	abi.bell
12719	42	-32964295203	Australia	Wozaila
12965	42	-34166709637	Australia	IrfanAhmad
13363	42	-36197135801	Australia	massad
13506	42	-36907934483	Australia	K.zhang.jsb
13522	42	-37008047810	Australia	OBD
13536	42	-37080872915	Australia	mangoez
13707	42	-37975678345	Australia	yiyuewang
13751	42	-38187695021	Australia	Rishabh_44
13877	42	-38701961548	Australia	L33
13971	42	-39151632388	Australia	gozzardam@gmail.com
14136	42	-39853621584	Australia	anh072
14247	42	-40276373634	Australia	armoured
14375	42	-40966251854	Australia	dodo10
14728	42	-42538629763	Australia	nightglyde
14911	42	-43316658988	Australia	dylanfuego
14997	42	-43806832171	Australia	Nick.babaki
15033	42	-43990820405	Australia	ewoko
15140	42	-44462220014	Australia	Zaphus
15198	42	-44739148080	Australia	atamus
15308	42	-45239524557	Australia	adamd
15331	42	-45338027949	Australia	Seamooo
15345	42	-45400929379	Australia	missFibonacci
15398	42	-45650651342	Australia	littlewatermelon
15836	42	-47571981133	Australia	hellotaotao
15940	42	-47994709174	Australia	luke.the.coder
15953	42	-48069400061	Australia	JustinLuong
16090	42	-48659979065	Australia	Juddling
16357	42	-49766580887	Australia	MrH
16547	42	-50558820376	Australia	aleung27
16770	42	-51493545199	Australia	Kumagai
17051	42	-52766469620	Australia	AncoraImparo
17072	42	-52826220104	Australia	dil12321
17080	42	-52890272861	Australia	boseranit
