Rank	Score	Penalty	Country	Name
8	100	-9907144950	Germany	Egor
16	100	-14989244356	Germany	pwild
114	100	-53325630718	Germany	lumibons
198	100	-71612787284	Germany	marmer
232	100	-77073409396	Germany	Noobie_99
304	100	-89537451871	Germany	mariand
313	100	-92148755583	Germany	Alexander86
325	100	-94332443854	Germany	mb706
357	84	-89939076251	Germany	CJK
359	84	-94402662183	Germany	eriksuenderhauf
400	75	-12993085962	Germany	MZuenni
447	75	-23560721576	Germany	C0R3
540	75	-39921579084	Germany	Cecronos
591	75	-46669789004	Germany	Zwergesel
609	75	-48779713404	Germany	Jibbow
623	75	-50636156847	Germany	MartinThoma
656	75	-52664243383	Germany	daniel.werner
661	75	-52793123155	Germany	amr962
741	75	-55603300077	Germany	DrNochi
861	75	-58181021162	Germany	vanHavel
1030	75	-60904284769	Germany	sjvie
1035	75	-61086044965	Germany	0x544C
1307	75	-67092311090	Germany	xjcl
1537	75	-73446817639	Germany	Dukeling
1605	75	-75551934183	Germany	nanoalpaca
1671	75	-77334876614	Germany	aweltsch
1697	75	-78159636090	Germany	antban
1714	75	-78588183060	Germany	AeriaGloris
1717	75	-78706970546	Germany	fagu
1735	75	-79296549023	Germany	mpt2
1796	75	-81672094519	Germany	ben.natura@gmail.com
1960	75	-88666989399	Germany	Zeldacrafter
2012	75	-91899815961	Germany	ikrets
2017	75	-92086561788	Germany	jano31415
2212	68	-5311559328	Germany	jbaldus
2218	68	-5429075685	Germany	anzuof
2300	68	-11970109226	Germany	filone
2384	68	-18472943841	Germany	narekb95
2439	68	-22161112582	Germany	jfrech
2514	68	-27608057845	Germany	eulerscheZahl
2659	68	-35273813246	Germany	NotMyName
2692	68	-37188442406	Germany	Qujja
2776	68	-40715049642	Germany	simorius
2779	68	-40979404386	Germany	fjuengermann
2794	68	-41741316862	Germany	tob123
2808	68	-42267911418	Germany	Loak
2812	68	-42495139438	Germany	rkleberhoff
2854	68	-44237871130	Germany	jgosmann
2864	68	-44804826052	Germany	mrMoe
2894	68	-45935261210	Germany	DavidS
2901	68	-46087454523	Germany	eth42
2957	68	-48042393426	Germany	Fettn
2967	68	-48487737754	Germany	Jukamala
2997	68	-49454150268	Germany	Auenwald
3004	68	-49698357815	Germany	Harry3141
3020	68	-50194503933	Germany	ToBeChanged
3034	68	-50772758193	Germany	miss_robot
3066	68	-51736361940	Germany	Veladus
3079	68	-52323054276	Germany	Unlikus
3095	68	-52766866630	Germany	lambdapioneer
3105	68	-52988903834	Germany	Josaffe
3126	68	-53864014305	Germany	mherzberg
3185	68	-55732733785	Germany	leobalduf
3196	68	-56070398979	Germany	risteon
3252	68	-57595228718	Germany	Aran
3266	68	-58180568574	Germany	flute42
3290	68	-58898419406	Germany	wintermute2048
3338	68	-60283532619	Germany	luisf
3354	68	-60841870810	Germany	davidKonka
3365	68	-61103193036	Germany	JdPL
3372	68	-61309771773	Germany	NaN
3401	68	-62291825485	Germany	berndboh
3444	68	-63592276000	Germany	julii
3452	68	-63830066645	Germany	Eogwyn
3532	68	-65468520415	Germany	Erebos3D
3555	68	-65941884661	Germany	arminosaurus
3604	68	-66970891737	Germany	angrynerd
3612	68	-67213768332	Germany	N0WIS
3622	68	-67547731361	Germany	xyxy98
3633	68	-67778237878	Germany	ture
3645	68	-67934964382	Germany	HotLava
3651	68	-68078213399	Germany	qr4
3697	68	-69284277845	Germany	LuzianHahn
3733	68	-70143912668	Germany	Structor
3737	68	-70231712341	Germany	prmatl
3739	68	-70275867830	Germany	jihyeseo
3794	68	-72072076975	Germany	Spacetoaster
3797	68	-72126816686	Germany	colonelkernel
3832	68	-72973782269	Germany	blafoobar
3834	68	-73008507606	Germany	vdeksel
3846	68	-73209094948	Germany	ExtendedBNF
3852	68	-73329304013	Germany	gabriel2029
3883	68	-74015285312	Germany	__Helge__
3896	68	-74170036635	Germany	DK56_T
4063	68	-78858837025	Germany	chris_daniel
4064	68	-78863791817	Germany	jgroe
4071	68	-79012963404	Germany	.Adrian
4076	68	-79209496515	Germany	Callidior
4097	68	-79778105347	Germany	hello_code_jam
4101	68	-79982087480	Germany	Gullydeckel
4174	68	-81837109600	Germany	L4to
4186	68	-82159299214	Germany	raphinesse
4200	68	-82437736406	Germany	nawidsayed
4218	68	-82831692915	Germany	Ralino
4236	68	-83357235112	Germany	MCoder
