Rank	Score	Penalty	Country	Name
4	100	-6631819845	Russia	Golovanov399
103	100	-50568109678	Russia	Maksim1744
138	100	-62101126600	Russia	hellman
149	100	-63588536642	Russia	alex.shkarin
153	100	-64769130784	Russia	Kapt
157	100	-65026694951	Russia	cookiedoth
167	100	-66837725730	Russia	kirill.maiantsev
168	100	-66894250704	Russia	antony191
202	100	-72407646841	Russia	moptranzistor
214	100	-74408198432	Russia	ZhukovDmitry
216	100	-74697891339	Russia	Kuyan
219	100	-75010885733	Russia	pashka
247	100	-80403272126	Russia	vladklyachin
284	100	-86350766176	Russia	XraY
286	100	-86584421459	Russia	dka
296	100	-88146542708	Russia	aid
305	100	-90616097423	Russia	Jatana
309	100	-91651147856	Russia	eatmore
316	100	-92493237760	Russia	alexey.enkov
319	100	-93305180557	Russia	stan.ros
323	100	-94023703192	Russia	iakovlev.zakhar
329	100	-95826020296	Russia	sergeykozub
335	100	-97195127366	Russia	darnley
344	84	-65187130329	Russia	tridno
356	84	-89287913050	Russia	EgorLifar
371	75	-6796022213	Russia	vepifanov
373	75	-7250596197	Russia	Phibonoci
452	75	-24032818565	Russia	igorjan94
526	75	-37368129987	Russia	Tikhon228
596	75	-47041673927	Russia	nmikhailov
610	75	-49137907025	Russia	khalman
612	75	-49497343093	Russia	isaf27
613	75	-49635852748	Russia	izban
616	75	-50012723596	Russia	alexxela12345
638	75	-51322060359	Russia	artworks
749	75	-55816363834	Russia	empty_walls
751	75	-55849994607	Russia	sempav
869	75	-58273996318	Russia	Pennyroyal_tea
895	75	-58662791128	Russia	Vladimirr.Petrunko
1048	75	-61434440256	Russia	DmitryZ
1280	75	-66587085633	Russia	bidzilya
1297	75	-66891012377	Russia	mathalex
1418	75	-70181417608	Russia	ivan.a.bovin
1504	75	-72239869284	Russia	yorky
1520	75	-72718991086	Russia	ApmeM
1575	75	-74545885908	Russia	elizarov
1645	75	-76397595580	Russia	pikmike
1702	75	-78295858507	Russia	AlesyaIvanova
1703	75	-78325106754	Russia	NameNamovich
1766	75	-80490441142	Russia	Ista
1777	75	-80908574581	Russia	pivizz
1795	75	-81566743001	Russia	ArtNext
1802	75	-82147435155	Russia	traylz
1816	75	-82486534424	Russia	ostroumov
1857	75	-83989489960	Russia	wunder9l
1861	75	-84263855171	Russia	cakeplus
1878	75	-85178567970	Russia	Kurpilyansky
1886	75	-85412176691	Russia	goryinyich
1893	75	-85785390752	Russia	evstigneevg
1916	75	-86839782192	Russia	xameleon
1922	75	-86965979256	Russia	mrpast
1959	75	-88662031664	Russia	s20b1Kirka
2011	75	-91886268916	Russia	Goodhope
2044	75	-93655698960	Russia	Milanin
2129	75	-96943271059	Russia	despair
2140	75	-97275932702	Russia	CountZero
2142	75	-97311438048	Russia	akoya
2160	75	-97968911642	Russia	chimbersaw
2227	68	-6018723401	Russia	white2302
2506	68	-26557184939	Russia	Genyaz
2574	68	-30616685628	Russia	DenXX
2590	68	-31771364743	Russia	amitrofanov82
2600	68	-32089605931	Russia	Mip182
2633	68	-33577770967	Russia	_ShJ_
2677	68	-36497599090	Russia	a.nogikh
2694	68	-37407996280	Russia	awesoon
2695	68	-37440389230	Russia	GRom
2699	68	-37663110806	Russia	TonySnark
2709	68	-38284053207	Russia	Fortin
2729	68	-39019263315	Russia	YulObraz
2734	68	-39177924173	Russia	cmd
2787	68	-41258895800	Russia	NDamirov
2825	68	-42926645313	Russia	sleirsgoevy@gmail.com
2846	68	-43976670309	Russia	azukun
2868	68	-44867069645	Russia	SashaPROS3
2878	68	-45301818993	Russia	cezarnik
2879	68	-45334523757	Russia	Um_nik
2896	68	-45950531025	Russia	Volkov_Ivan
2902	68	-46133337262	Russia	StarCuriosity
2911	68	-46551535130	Russia	OlegSmirnov
2931	68	-47151579428	Russia	Musin
2936	68	-47368416287	Russia	Atos1337
2943	68	-47543774352	Russia	VulpesCorsac
