Rank	Score	Penalty	Country	Name
11	100	-12441388894	Taiwan	zzxzxzzxz
26	100	-20846395116	Taiwan	yhchang3
35	100	-24594341041	Taiwan	hank55663
61	100	-34956530800	Taiwan	tmwilliamlin168
74	100	-40716609852	Taiwan	jerryyu33
80	100	-42705054626	Taiwan	progheal
105	100	-50835756031	Taiwan	Splend1dChan
171	100	-67013153039	Taiwan	M30W
207	100	-73210306724	Taiwan	chuckl0416
229	100	-76374084888	Taiwan	c88tm
264	100	-83386817389	Taiwan	kevin00050@gmail.com
348	84	-79117031039	Taiwan	lyc_
349	84	-79757901300	Taiwan	YEE8822
431	75	-19369832628	Taiwan	Huan.po.Lin
445	75	-22864702889	Taiwan	rubberduck
483	75	-30837919986	Taiwan	TCC
497	75	-32957013120	Taiwan	Omelet
514	75	-35652588205	Taiwan	Chi.
516	75	-36037782604	Taiwan	marmot0814
522	75	-36423885628	Taiwan	dancooper0705
529	75	-37907601270	Taiwan	yllan
531	75	-38274776954	Taiwan	cheissmart
551	75	-41158475834	Taiwan	MROS
569	75	-44068119775	Taiwan	mi.
589	75	-46469729063	Taiwan	HanaYukii
601	75	-47998563958	Taiwan	SorahISA
654	75	-52599364521	Taiwan	aidan79225@gmail.com
659	75	-52729312379	Taiwan	daniel920712
660	75	-52751067300	Taiwan	Sean64
687	75	-53948372406	Taiwan	YJC
726	75	-55432566150	Taiwan	ZetaLuLu
729	75	-55453387156	Taiwan	Woodyhoko
884	75	-58433732063	Taiwan	mike51
910	75	-58901481208	Taiwan	FanFly
1033	75	-60963686055	Taiwan	GYLin
1135	75	-63370881027	Taiwan	LauZi
1163	75	-63905068138	Taiwan	praesepe
1399	75	-69636494241	Taiwan	arenx
1648	75	-76470527388	Taiwan	jonson0505
1718	75	-78738188583	Taiwan	DannyLee
1991	75	-90759946143	Taiwan	ccbeginner
2075	75	-95095174977	Taiwan	thhsux
2078	75	-95179359839	Taiwan	it3
2159	75	-97923896798	Taiwan	FreddieHuang
2172	75	-99884716062	Taiwan	Ccucumber12
2176	75	-101185473117	Taiwan	laihy
2186	74	-52717406198	Taiwan	Hannnnk
2233	68	-6398731275	Taiwan	garyshih
2265	68	-8204567614	Taiwan	jevancc
2274	68	-8840236709	Taiwan	waynetuinfor
2277	68	-9214607522	Taiwan	William324
2314	68	-13312460674	Taiwan	afq873
2322	68	-14059787315	Taiwan	zeroplusone
2336	68	-15010594382	Taiwan	henrybear327
2362	68	-17325112018	Taiwan	edisonhello
2408	68	-19775238256	Taiwan	jjjjj19980806
2412	68	-20099306858	Taiwan	Andychen
2421	68	-20631049670	Taiwan	fro11o
2458	68	-23667330123	Taiwan	Yinghao
2529	68	-28539141957	Taiwan	JerryChengDeLin
2545	68	-29417536666	Taiwan	gloompisces
2562	68	-30084246453	Taiwan	joylintp
2564	68	-30255478503	Taiwan	CYC
2577	68	-30778959977	Taiwan	allenwhale
2579	68	-31092849003	Taiwan	yungchienliu
2581	68	-31197490785	Taiwan	QYHamster
2591	68	-31855007469	Taiwan	ai241
2620	68	-32987941195	Taiwan	SheepRanger
2671	68	-36034689809	Taiwan	drazil
2672	68	-36145092539	Taiwan	551100kk
2758	68	-39978667071	Taiwan	ChienYu
2875	68	-45146164570	Taiwan	alan8585
2882	68	-45407116586	Taiwan	pi
2918	68	-46699199640	Taiwan	GGJHONG
2924	68	-46883274372	Taiwan	Yazmau
2947	68	-47691765258	Taiwan	iPeter
2974	68	-48803214518	Taiwan	yysung
2981	68	-49081098505	Taiwan	jcaosola
2990	68	-49257902982	Taiwan	wiwiho
3038	68	-50942380973	Taiwan	RogerW
3049	68	-51245238800	Taiwan	t1016d
3055	68	-51399379923	Taiwan	HexRabbit
3060	68	-51538116740	Taiwan	waitingkuo
3075	68	-52175094716	Taiwan	Han.Chiang
3107	68	-53000364409	Taiwan	teacup123123
3122	68	-53669269329	Taiwan	Maxwill
3133	68	-54035144533	Taiwan	sci19nya
3179	68	-55443174953	Taiwan	binsjl
3195	68	-56043984051	Taiwan	cornercorn
3211	68	-56376404968	Taiwan	WeselyOng
3281	68	-58556212644	Taiwan	BeanTheMan
3323	68	-59657790099	Taiwan	Austin880625
3336	68	-60086268308	Taiwan	Frostfrog
3405	68	-62348332024	Taiwan	JY
3417	68	-62806244973	Taiwan	wenchih
3432	68	-63182110216	Taiwan	jw910731
3472	68	-64221399270	Taiwan	TonyLCY
3538	68	-65547831835	Taiwan	ntu519198
3586	68	-66551261396	Taiwan	nonamefour0210
3611	68	-67209435455	Taiwan	AnnieFromTaiwan
3621	68	-67545376474	Taiwan	wth
3662	68	-68397324372	Taiwan	yao11617
3709	68	-69490476897	Taiwan	amoshyc
3734	68	-70152878423	Taiwan	MiluC
3768	68	-71292094055	Taiwan	AJ.Fly
3888	68	-74069148204	Taiwan	soimportant
3915	68	-74625089968	Taiwan	oToToT
3983	68	-76430289626	Taiwan	kamyu
3985	68	-76521979653	Taiwan	samsam2310
4053	68	-78430645207	Taiwan	QAOOOOO
4100	68	-79963718532	Taiwan	RanceJen
4104	68	-80111423251	Taiwan	hoaaoh
4114	68	-80259331514	Taiwan	iahn
4181	68	-82058298204	Taiwan	JiaYeLi
4204	68	-82496147186	Taiwan	johnathan79717
4282	68	-84983725878	Taiwan	YSTsai
4326	68	-86358231411	Taiwan	animeshf
4523	68	-93350262423	Taiwan	_Ice_Tea_
4625	68	-97126909120	Taiwan	yangerma
4722	59	-41163225771	Taiwan	joelthchao
4778	59	-63026829786	Taiwan	twawcakzng27
4787	59	-65345347124	Taiwan	yrclamb
4848	59	-76049626855	Taiwan	fatsoap
4889	59	-86154460601	Taiwan	竫泓
4926	59	-95788863219	Taiwan	leolee2020
4943	56	-27062324822	Taiwan	JeffreyHo
4949	56	-55523095103	Taiwan	hankluo6
4967	56	-76151176964	Taiwan	HDC
4996	52	-7172537292	Taiwan	CLKO
5019	52	-18086346623	Taiwan	CSJL
5030	52	-24229248874	Taiwan	magonmonkey
5057	52	-32840913342	Taiwan	thumbd12856
5094	52	-42435850594	Taiwan	Glair
5096	52	-43124311283	Taiwan	HugoHT.Chan
5119	52	-47621066875	Taiwan	8e7
5191	52	-57141940358	Taiwan	vehemency
5195	52	-57519251514	Taiwan	hiiwave
5229	52	-62059069382	Taiwan	10eipeip
5265	52	-66270147266	Taiwan	amgtier
5280	52	-67842213588	Taiwan	cwliang
5352	52	-74024154052	Taiwan	solumilken
5359	52	-74464592739	Taiwan	WJT
5544	52	-94639011085	Taiwan	sevenlol
5557	52	-96255679498	Taiwan	aaaaajack
5558	52	-96259274936	Taiwan	matui
5582	52	-97995980845	Taiwan	CyCTW
5615	50	-32529665539	Taiwan	zxcand
5617	50	-34730265634	Taiwan	clive819
5622	50	-36462014742	Taiwan	tsyr
5651	50	-47422111832	Taiwan	note35
5678	50	-53045558533	Taiwan	Blue
5734	50	-60713106236	Taiwan	AChueh
5758	50	-63929429477	Taiwan	john35452
5848	50	-73746244897	Taiwan	kk.kang
6061	49	-11601365337	Taiwan	bevis
6080	49	-15059132247	Taiwan	sammy12519
6110	49	-24528508994	Taiwan	nek0t1m
6157	49	-31742769112	Taiwan	KJS
6218	49	-40098668654	Taiwan	Natsume
6333	49	-51469702735	Taiwan	tomsan
6381	49	-54887388972	Taiwan	flyingmars
6663	49	-64869976136	Taiwan	fableguo
6686	49	-65290145531	Taiwan	sshung
6771	49	-67305972516	Taiwan	billy4195su
6804	49	-68276585989	Taiwan	tonyli
6967	49	-73303540479	Taiwan	WayneChen
7067	49	-76607109045	Taiwan	qbane
7397	49	-93993871075	Taiwan	Nibble
7485	45	-71929506632	Taiwan	Ocean_Surf
7497	43	-6381912765	Taiwan	seankhliao@gmail.com
7605	43	-25419545230	Taiwan	uuuuuno
7632	43	-29600749019	Taiwan	hsun23923
7637	43	-30553311346	Taiwan	PixelCat
7659	43	-32857877162	Taiwan	w80707
7696	43	-36410545920	Taiwan	aben20807
7700	43	-36567747984	Taiwan	puppy955101
7714	43	-38733950258	Taiwan	kevin1kevin1k
7763	43	-42831998955	Taiwan	krisonepiece
7865	43	-50051483189	Taiwan	MarkYu
7904	43	-52976825822	Taiwan	CharlieChuang
7910	43	-53206509150	Taiwan	ElitE_MING
7947	43	-54585636565	Taiwan	hysoka79
7998	43	-57274555659	Taiwan	Airtooz
8049	43	-59409635106	Taiwan	WJPei
8083	43	-60730125988	Taiwan	johnlinp@gmail.com
8144	43	-63122578398	Taiwan	lrvine
8253	43	-67609025443	Taiwan	RobertJiang
8295	43	-69091497775	Taiwan	yochien
8304	43	-69339568884	Taiwan	twweeb
8310	43	-69446375718	Taiwan	drazermega
8971	43	-97201344298	Taiwan	Poplarysl
8994	43	-97911494370	Taiwan	P.Keng
9054	42	-2120786486	Taiwan	jakao
9228	42	-4150155550	Taiwan	Whiteskull20
9279	42	-4603968862	Taiwan	Giver
9286	42	-4670160470	Taiwan	DroidDream
9296	42	-4754894655	Taiwan	pr3pony
9333	42	-5110349501	Taiwan	nella17
9356	42	-5407693658	Taiwan	crathva
9400	42	-5868031888	Taiwan	twbbbb
9409	42	-5953611476	Taiwan	ToMmyDong
9489	42	-6697994284	Taiwan	Yakimo
9523	42	-7002492795	Taiwan	guaguakai
9558	42	-7384737420	Taiwan	mushroom5g
9590	42	-7716979383	Taiwan	bigelephant29
9613	42	-8059468322	Taiwan	wythe
9691	42	-8999143467	Taiwan	DarkKnight.
9704	42	-9104823224	Taiwan	HaidaMoo
9737	42	-9441532198	Taiwan	lightbulb12294
9739	42	-9508154665	Taiwan	royyaha
9804	42	-10221650705	Taiwan	liao119
9841	42	-10682777670	Taiwan	joannewolf
9865	42	-11010378178	Taiwan	hiltarc
9887	42	-11284251501	Taiwan	brianlii
9900	42	-11490169397	Taiwan	jasonwang924
9903	42	-11510486361	Taiwan	briansu
9938	42	-11840593314	Taiwan	sean128309
9956	42	-12104603540	Taiwan	skps2010
9982	42	-12354753140	Taiwan	balbit
10039	42	-12881372132	Taiwan	yo.ga
10064	42	-13093866856	Taiwan	AtCoderTheBestOJEVER
10070	42	-13168168782	Taiwan	YaoHsiaoTW
10120	42	-13685380264	Taiwan	yysoulall
10123	42	-13696396064	Taiwan	puyu
10166	42	-14108093828	Taiwan	CoolBANGstone
10175	42	-14224652620	Taiwan	Mudream
10186	42	-14280690692	Taiwan	ktxlh
10228	42	-14608072596	Taiwan	qwe854896
10229	42	-14608514304	Taiwan	kaikay
10237	42	-14743656553	Taiwan	morriship
10249	42	-14878273017	Taiwan	kanru
10264	42	-15021861699	Taiwan	lolicon_tw
10284	42	-15200791527	Taiwan	PeterTaiwan
10296	42	-15370167292	Taiwan	Chung-Shang-Hsuan
10363	42	-16048305439	Taiwan	donch
10378	42	-16165464460	Taiwan	jeve
10441	42	-16709042076	Taiwan	crescent7122
10447	42	-16774168467	Taiwan	jaosn7777
10521	42	-17476128613	Taiwan	small2kuo
10540	42	-17682685805	Taiwan	CheshireCatNick
10549	42	-17776277075	Taiwan	ted
10580	42	-18095739862	Taiwan	pusheen
10601	42	-18304361599	Taiwan	william40614
10629	42	-18562660403	Taiwan	wanling1212
10681	42	-18998909216	Taiwan	dittolooch
10725	42	-19422512365	Taiwan	9t
10755	42	-19725833330	Taiwan	a000000000
10772	42	-19873949771	Taiwan	billchang
10813	42	-20300233218	Taiwan	clover56
10872	42	-20786055085	Taiwan	jkmylove
10886	42	-20917998214	Taiwan	yeelung
10954	42	-21532941087	Taiwan	smallbirdluckybird
10966	42	-21613551652	Taiwan	duduhau
11010	42	-21932904919	Taiwan	yellowweak
11018	42	-22037084272	Taiwan	lintseju
11043	42	-22295970096	Taiwan	ltf0501
11114	42	-22921378864	Taiwan	baipa
11140	42	-23058774408	Taiwan	x94
11159	42	-23280348529	Taiwan	KronisYEH
11167	42	-23333324975	Taiwan	KellyLu
11171	42	-23377825407	Taiwan	Onebone
11268	42	-23974713180	Taiwan	JM1208
11290	42	-24233189404	Taiwan	icecat2012
11294	42	-24257492247	Taiwan	OldNick0
11301	42	-24309406809	Taiwan	wangyenjen
11332	42	-24668305368	Taiwan	ynchsung
11340	42	-24700304186	Taiwan	Michael.Huang
11341	42	-24703275737	Taiwan	GaoLJ
11372	42	-24957217705	Taiwan	Ryan_luv_Taiwan
11382	42	-25053280281	Taiwan	Tracy_Liu
11395	42	-25146419418	Taiwan	Lukehsu1999
11413	42	-25253357249	Taiwan	mue1018@gmail.com
11419	42	-25290847075	Taiwan	Kabibabala
11422	42	-25315552436	Taiwan	formosalatte
11469	42	-25680422884	Taiwan	jyunhongsu
11479	42	-25730714928	Taiwan	empireW
11530	42	-26196805007	Taiwan	hortune
11631	42	-26867941257	Taiwan	lawfung60
11633	42	-26873066541	Taiwan	FAB1210
11641	42	-26912676151	Taiwan	Thedeity
11660	42	-27043193192	Taiwan	hini
11665	42	-27055558064	Taiwan	dienruei123
11699	42	-27258629547	Taiwan	gnawcy
11824	42	-28024913039	Taiwan	elvis027
11840	42	-28111891637	Taiwan	fishtoby0201
11856	42	-28242805526	Taiwan	lewislin3
11895	42	-28499870116	Taiwan	alter027
11906	42	-28575523969	Taiwan	TzuWei
11926	42	-28705589530	Taiwan	greenli
11935	42	-28737360437	Taiwan	Kevin_Zhang_TW
11937	42	-28758996921	Taiwan	C_zu
11973	42	-28989040608	Taiwan	CTFang
11983	42	-29031947288	Taiwan	Piano
11987	42	-29043398960	Taiwan	sayuan
11993	42	-29099732344	Taiwan	skankhunt42
11995	42	-29107597315	Taiwan	robert1003
11996	42	-29109084509	Taiwan	Hhbenson
12018	42	-29265651901	Taiwan	Kumazan
12075	42	-29594158985	Taiwan	The_Trout
12220	42	-30201821090	Taiwan	pingsutw
12231	42	-30259901744	Taiwan	choumartin1234
12273	42	-30468953934	Taiwan	Rebecca21
12280	42	-30511154231	Taiwan	container513
12298	42	-30619820949	Taiwan	d4n1el
12333	42	-30815995167	Taiwan	billchen0412
12465	42	-31502429138	Taiwan	JHong
12484	42	-31647187492	Taiwan	Redleaf
12497	42	-31688257173	Taiwan	Ming.Shen
12533	42	-31867758987	Taiwan	stevenshih20
12629	42	-32450407056	Taiwan	Hellena
12635	42	-32468087535	Taiwan	WXM
12647	42	-32546545682	Taiwan	dc_tw
12687	42	-32797316253	Taiwan	ChenHungWu
12753	42	-33158745352	Taiwan	mmxd
12834	42	-33543803204	Taiwan	linjulien
12837	42	-33546102123	Taiwan	Hanwen.C
12874	42	-33729193297	Taiwan	popo55668
12892	42	-33815811417	Taiwan	steve_h
12899	42	-33839591217	Taiwan	Bor
12903	42	-33885824804	Taiwan	BlackW
12905	42	-33898552286	Taiwan	lin_shang
12944	42	-34101876672	Taiwan	jason4732aa
12987	42	-34249057473	Taiwan	scottHuang
13037	42	-34522158772	Taiwan	Seanliu
13038	42	-34527741413	Taiwan	YJack0000
13043	42	-34557855083	Taiwan	Wantocode
13064	42	-34701641604	Taiwan	pink_fluffy_bunny
13083	42	-34876688535	Taiwan	alechuang98
13168	42	-35300754717	Taiwan	lys0829
13181	42	-35366669064	Taiwan	susi
13204	42	-35474033855	Taiwan	LiPro
13222	42	-35556094841	Taiwan	changch
13237	42	-35619189963	Taiwan	wh31110
13313	42	-35952203847	Taiwan	iris2617
13409	42	-36420914039	Taiwan	irenetht
13412	42	-36430091660	Taiwan	Bebe
13442	42	-36544203277	Taiwan	Holden.Caulfield
13493	42	-36844324701	Taiwan	Ray_Lai
13508	42	-36911895519	Taiwan	tony810430
13526	42	-37032943293	Taiwan	0w1
13548	42	-37146791221	Taiwan	happyx94@gmail.com
13658	42	-37679355874	Taiwan	jd3
13702	42	-37943990186	Taiwan	geniusjazz@gmail.com
13931	42	-38986414637	Taiwan	Bogay410273
13951	42	-39075726602	Taiwan	asas1asas200
13987	42	-39201305715	Taiwan	YH89
13993	42	-39233638923	Taiwan	AlaRduTP
14021	42	-39342063523	Taiwan	Kbear
14053	42	-39502336948	Taiwan	lost.lamb
14131	42	-39838745777	Taiwan	stdio2019
14208	42	-40136792252	Taiwan	TheOneisNEO
14219	42	-40183870514	Taiwan	snoopyisadog
14248	42	-40289677977	Taiwan	Mango20
14466	42	-41305010104	Taiwan	JiKuai
14498	42	-41447697263	Taiwan	David_5
14554	42	-41746138250	Taiwan	guanwen0
14633	42	-42142578855	Taiwan	YanLee
14951	42	-43553832104	Taiwan	wwaraceli
15047	42	-44073093452	Taiwan	KH
15059	42	-44126605659	Taiwan	6688rrs
15066	42	-44159961675	Taiwan	jeeeerrrpop
15206	42	-44767199794	Taiwan	vincent97198
15375	42	-45562662792	Taiwan	thumper
15405	42	-45668400262	Taiwan	iaNTU
15531	42	-46173040977	Taiwan	coldEr66
15594	42	-46412722689	Taiwan	study
15602	42	-46439390224	Taiwan	KillerADO
15778	42	-47285023853	Taiwan	WillyPillow
15875	42	-47712598853	Taiwan	liujack0914
15876	42	-47720271699	Taiwan	jass921026
15955	42	-48074092143	Taiwan	baluteshih
15965	42	-48135444534	Taiwan	aaron_yan
16008	42	-48318803454	Taiwan	tkuo
16188	42	-49037605806	Taiwan	terryhung28
16350	42	-49747733723	Taiwan	esrever
16353	42	-49757842859	Taiwan	chenhan.hsiao.tw
16377	42	-49833131398	Taiwan	kojiji
16385	42	-49876201677	Taiwan	Lavi22
16406	42	-49955309388	Taiwan	LakersChamp
16455	42	-50175295793	Taiwan	wangsn
16479	42	-50282380339	Taiwan	WenKen
16499	42	-50367251307	Taiwan	Yururin
16524	42	-50483475868	Taiwan	SUNGOD
16541	42	-50541494854	Taiwan	tobygameac.tw
16628	42	-50896535598	Taiwan	fereshte
16692	42	-51157660581	Taiwan	pwliao
16771	42	-51504594637	Taiwan	hyperbola
16773	42	-51510373484	Taiwan	arctan7680
16786	42	-51581420939	Taiwan	beatyesterdayJ
16811	42	-51692713372	Taiwan	XDevil
16992	42	-52445202239	Taiwan	plusline
17058	42	-52785294145	Taiwan	ChangRon
17086	42	-52912458950	Taiwan	helenokos
17096	42	-52951248129	Taiwan	jim90247
17141	42	-53163224644	Taiwan	badstyle319
17253	42	-53617604367	Taiwan	cathatino
17278	42	-53679872314	Taiwan	Robin3
17281	42	-53688762663	Taiwan	abby50066
17312	42	-53801282239	Taiwan	yogafox
17315	42	-53810937142	Taiwan	QQQQQ
17447	42	-54341746762	Taiwan	nick5130
17461	42	-54376551283	Taiwan	emanlaicepsa
17509	42	-54527149943	Taiwan	MorrisW
17534	42	-54609936415	Taiwan	Ele_Ele
17574	42	-54758248390	Taiwan	boook64
17594	42	-54804395100	Taiwan	Serge45
17634	42	-54947518604	Taiwan	w4yne
17720	42	-55311343835	Taiwan	03t
17746	42	-55410065282	Taiwan	Edwardlus
17772	42	-55485520118	Taiwan	shaojason999
17804	42	-55636665822	Taiwan	jackyhobingo
17920	42	-56048130802	Taiwan	udchen
17927	42	-56084452832	Taiwan	kanhua
17946	42	-56150378802	Taiwan	tkain
17966	42	-56243613875	Taiwan	spentplaying
17981	42	-56306370466	Taiwan	ericchiu
18175	42	-56932264375	Taiwan	Reasoncs00
18207	42	-57046894452	Taiwan	harrykou1
18229	42	-57127068572	Taiwan	KKCWind
18249	42	-57207344411	Taiwan	PattyHuang
18275	42	-57287500885	Taiwan	Skychaser_Lee
18308	42	-57425618426	Taiwan	JekyllAndHyde
18328	42	-57495227492	Taiwan	fsh0524
18392	42	-57673358645	Taiwan	wesleylee
18512	42	-58109662195	Taiwan	NacuJachu
18523	42	-58142328432	Taiwan	domen111
18581	42	-58349980021	Taiwan	CliveLin
18587	42	-58380415900	Taiwan	cbc
18632	42	-58499685796	Taiwan	jasonmeow
18674	42	-58613435154	Taiwan	mathtsai
18691	42	-58675685350	Taiwan	cyuanor
18710	42	-58747715474	Taiwan	alfons.hwu
18761	42	-58922500240	Taiwan	dongFIN
18832	42	-59233065760	Taiwan	danielpclin
18992	42	-59830403773	Taiwan	kcl
19074	42	-60144698841	Taiwan	betaveros
19099	42	-60242637706	Taiwan	AceIn
19135	42	-60410195007	Taiwan	HNO2
19146	42	-60452186413	Taiwan	dodo3369
19167	42	-60535575450	Taiwan	philippeng
19340	42	-61236250062	Taiwan	D.T.
19366	42	-61339320799	Taiwan	keja_d
19408	42	-61509063667	Taiwan	toxicpie
19435	42	-61591698751	Taiwan	sauder
19462	42	-61690461267	Taiwan	tfliao
19597	42	-62157520817	Taiwan	tmt514
19693	42	-62528720873	Taiwan	jim800121.chen
19809	42	-62974600638	Taiwan	dreamoon_love_AA
19841	42	-63069999708	Taiwan	HandsomeLiu37
19885	42	-63237570037	Taiwan	CrazyYu
20076	42	-64010591783	Taiwan	HuJK
20154	42	-64305819213	Taiwan	hpc
20243	42	-64613145477	Taiwan	KevinYeh
20266	42	-64675131653	Taiwan	joeythegod
20298	42	-64791105808	Taiwan	YoEugeneHsu
20453	42	-65343355989	Taiwan	june_waves
20520	42	-65596998284	Taiwan	crazysun
20522	42	-65602557041	Taiwan	erd1
20608	42	-65870524977	Taiwan	RexII
20662	42	-66036122565	Taiwan	chiachia
20720	42	-66206165916	Taiwan	HunTer
20732	42	-66231802898	Taiwan	x_____0
20957	42	-66874644473	Taiwan	zkjasoncheng
20971	42	-66921112848	Taiwan	Karinsu
20973	42	-66931450862	Taiwan	weitang114
21036	42	-67153325817	Taiwan	rabbit125
21083	42	-67326537344	Taiwan	YPL
21297	42	-68058050080	Taiwan	wolfdigit
21623	42	-69206089147	Taiwan	yclin1024
21679	42	-69370303052	Taiwan	41v!n
21898	42	-70099051411	Taiwan	581
22145	42	-70917837381	Taiwan	alon21034
22212	42	-71138344034	Taiwan	za8244
22236	42	-71211955992	Taiwan	s123unny
22493	42	-72047885977	Taiwan	CML
22601	42	-72411047091	Taiwan	James5566
22758	42	-72919837160	Taiwan	ShirinLiu
22872	42	-73281765452	Taiwan	hsnusonic
22885	42	-73311557403	Taiwan	YH
22970	42	-73589035246	Taiwan	xu3kev
23030	42	-73800126392	Taiwan	qazwsxedcrfvtg14
23042	42	-73845659778	Taiwan	minson123
23172	42	-74311570478	Taiwan	DeanW
23211	42	-74486999215	Taiwan	Ricky1121
23329	42	-74802349661	Taiwan	gary1346aa
23363	42	-74907270685	Taiwan	NULL0X0
23452	42	-75264425416	Taiwan	bbhands
23590	42	-75858919728	Taiwan	MarkYen
23646	42	-76065820587	Taiwan	nininini0009
23738	42	-76449627851	Taiwan	st9540808
24041	42	-77640075321	Taiwan	CL.
24076	42	-77798071848	Taiwan	DaiLiInYourArea
24184	42	-78194047368	Taiwan	judichunt
24215	42	-78331209818	Taiwan	penny860806
24265	42	-78544411656	Taiwan	powei0424
24478	42	-79468658045	Taiwan	anlialtting
24655	42	-80178057001	Taiwan	yuusha
24754	42	-80528616292	Taiwan	leolun
24778	42	-80655025815	Taiwan	sec
24831	42	-80883637649	Taiwan	wutt77
25349	42	-83452190008	Taiwan	jeff3071
26016	42	-87178510171	Taiwan	NCKU
26568	42	-90657510568	Taiwan	Jass1990
26757	42	-92136597995	Taiwan	Kudada
26788	42	-92368094878	Taiwan	chungyu
26811	42	-92512627858	Taiwan	SecondX
26923	42	-93210674019	Taiwan	chwang
