Rank	Score	Penalty	Country	Name
125	100	-6334486352	Kazakhstan	ACube
233	100	-7711836094	Kazakhstan	krauch
380	100	-9157826894	Kazakhstan	Don4ick
551	77	-10239032995	Kazakhstan	rtmkz
692	72	-6773808664	Kazakhstan	Batyrkhan
786	72	-7348179903	Kazakhstan	ikj
872	72	-7831223865	Kazakhstan	ADJA
1099	72	-8940416449	Kazakhstan	windazz
1307	63	-4695717814	Kazakhstan	akim
1363	63	-5849369446	Kazakhstan	imadra
1373	63	-6121338955	Kazakhstan	Scayre
1515	63	-8246564704	Kazakhstan	urker
1785	51	-5643479831	Kazakhstan	Proggerkz
1919	51	-6725641612	Kazakhstan	dara_t
2062	51	-7590505227	Kazakhstan	moodymoose
2455	51	-9400028415	Kazakhstan	YerzhanU
2759	42	-6150833016	Kazakhstan	Na2a
3343	40	-7840190033	Kazakhstan	Tima
3850	31	-7105489310	Kazakhstan	nocreative
4044	28	-1989065737	Kazakhstan	Turysbek
4390	28	-4498983184	Kazakhstan	abusaid.manap@gmail.com
4659	28	-6599515666	Kazakhstan	devishot
4871	28	-8188903992	Kazakhstan	naimash
4904	28	-8474624877	Kazakhstan	almasalmas
5238	24	-7085654231	Kazakhstan	iliyas1155
6341	14	-6447116302	Kazakhstan	AnuarTB
6693	13	-2845065829	Kazakhstan	akali
6805	13	-8302534498	Kazakhstan	gania
8667	5	-5286791865	Kazakhstan	MrArgus
9413	0	0	Kazakhstan	AlishZ
9413	0	0	Kazakhstan	Nicky.sdu
9413	0	0	Kazakhstan	callmeaskha
9413	0	0	Kazakhstan	kryakrya
