Rank	Score	Penalty	Country	Name
134	63	-3864989693	Brazil	Bossle
290	47	-3907046167	Brazil	NaimSS
311	47	-5341711696	Brazil	reiracofage
406	34	-4130497090	Brazil	eduardocesb
521	32	-4048672886	Brazil	VictorBreder
678	29	-1618959948	Brazil	TsubasaHanekawa
723	29	-1809015592	Brazil	tiagoshibata
741	29	-1888414327	Brazil	CaroLinda
772	29	-2007293659	Brazil	mariohss
800	29	-2107287069	Brazil	wjoao
838	29	-2219813541	Brazil	pedrohlf
868	29	-2343291857	Brazil	lamartine.cb
905	29	-2448453830	Brazil	rafaeldaigo
958	29	-2584843328	Brazil	ViniciusCabessa
1016	29	-2749518275	Brazil	Th_Filipe
1217	29	-3253204413	Brazil	kowalks
1223	29	-3264600774	Brazil	Victoragnez
1357	29	-3572966062	Brazil	adorow
1462	29	-3872278384	Brazil	BrunoTissei
1496	29	-3962713923	Brazil	ManelNesquik
1661	29	-4421652761	Brazil	tiagomontalvao
1702	29	-4524849599	Brazil	EduardoFernandes
1869	29	-5019123257	Brazil	HenriqueBrito
1955	16	-3757057500	Brazil	Arkham_Knight
1996	16	-4674598985	Brazil	brenorosas
2099	13	-1767120930	Brazil	guimafelipe
2156	13	-2059874583	Brazil	bira37
2226	13	-2346731661	Brazil	iamavalon
2231	13	-2365717147	Brazil	su007
2249	13	-2461409548	Brazil	tomaz1502
2274	13	-2561529248	Brazil	FelipeF
2293	13	-2614419004	Brazil	leviwc
2297	13	-2633414397	Brazil	pedroh
2391	13	-3002697521	Brazil	Dicksiano
2400	13	-3029802264	Brazil	ViniciusLP
2423	13	-3134026642	Brazil	tiagomariinhoo
2436	13	-3192504785	Brazil	railtont
2493	13	-3364213224	Brazil	sofhiasouza
2505	13	-3390563210	Brazil	gustavolima00
2506	13	-3391270519	Brazil	guilhermecorreagv
2507	13	-3391384004	Brazil	samuelfgs
2538	13	-3498394678	Brazil	newbie0001
2563	13	-3581096149	Brazil	IManifold
2579	13	-3621895590	Brazil	GabeKanegae
2620	13	-3715473532	Brazil	viniciusth
2671	13	-3859373756	Brazil	PedroHMNobrega
2685	13	-3911787251	Brazil	PedroX345
2694	13	-3940493825	Brazil	Rasinhas
2701	13	-3951531922	Brazil	lam5
2756	13	-4091236346	Brazil	willp
2975	13	-4927645905	Brazil	Pedrozo
3005	13	-5244827086	Brazil	Scarelli
3052	5	-1407946557	Brazil	vitorricoy
3117	5	-2364479290	Brazil	fredbr
3222	5	-3078653310	Brazil	Thiagohnc
3249	5	-3207266378	Brazil	LeoRiether
3288	5	-3392733153	Brazil	lincolnx
3417	5	-3936007155	Brazil	Vlamarca
3525	5	-4334836978	Brazil	DiegoBZ
3888	0	0	Brazil	Andrevas
3888	0	0	Brazil	DouglasNobrega
3888	0	0	Brazil	GuilhermeS
3888	0	0	Brazil	Guilherme_Cabral
3888	0	0	Brazil	Leonardo_Paes
3888	0	0	Brazil	LeticiaFCS
3888	0	0	Brazil	Ly20
3888	0	0	Brazil	MatheusMonteiro
3888	0	0	Brazil	MvKaio
3888	0	0	Brazil	Policarpo
3888	0	0	Brazil	Teshugo
3888	0	0	Brazil	TheOneArjuna
3888	0	0	Brazil	Zanez
3888	0	0	Brazil	andreyp
3888	0	0	Brazil	arthur.nascimento
3888	0	0	Brazil	ascaniocc
3888	0	0	Brazil	bfs.07
3888	0	0	Brazil	binaryLifter
3888	0	0	Brazil	breno
3888	0	0	Brazil	damnerd
3888	0	0	Brazil	dilsonguim
3888	0	0	Brazil	dorime
3888	0	0	Brazil	fakhoury
3888	0	0	Brazil	fer22f
3888	0	0	Brazil	filipeabelha
3888	0	0	Brazil	gcgm
3888	0	0	Brazil	giovaneaf
3888	0	0	Brazil	hal
3888	0	0	Brazil	jgsp2
3888	0	0	Brazil	joao_marcos
3888	0	0	Brazil	jovitre
3888	0	0	Brazil	juanplopes
3888	0	0	Brazil	juarez.paulino
3888	0	0	Brazil	lucsturci
3888	0	0	Brazil	luiz.py
3888	0	0	Brazil	pauloamed
3888	0	0	Brazil	peuch
3888	0	0	Brazil	siolinm
3888	0	0	Brazil	tsukasa
3888	0	0	Brazil	vcoutasso
3888	0	0	Brazil	weltschildkroete
3888	0	0	Brazil	williamads
3888	0	0	Brazil	yjaschek
3898	0	0	Brazil	alexistoigo
3898	0	0	Brazil	amandabraga
3898	0	0	Brazil	cintia
3898	0	0	Brazil	czar_lx
3898	0	0	Brazil	dukilee
3898	0	0	Brazil	fakhoury
3898	0	0	Brazil	giovaneaf
3898	0	0	Brazil	souvenir_vayne
3898	0	0	Brazil	vcoutasso
3898	0	0	Brazil	yurisantamarina
