Rank	Score	Penalty	Country	Name
49	100	-6648270040	India	aneesh2312
83	100	-7360100222	India	cerberus97
207	100	-9144000465	India	hitman623
218	100	-9883465089	India	architb12
261	69	-9385699089	India	Utkarsh.25dec
319	63	-3503905458	India	amnesiac_dusk
333	63	-3907126586	India	nikhilag2711
394	63	-4858355790	India	jagarwal
427	63	-5252340650	India	aditya_sheth
434	63	-5295231098	India	piyushsethia1999
436	63	-5298347637	India	code_struck
437	63	-5308227197	India	VageshVerma
463	63	-5560849711	India	vineet.paliwal
465	63	-5581362201	India	SuryaPrakash
482	63	-5779767350	India	shivammittal99
503	63	-5959047193	India	toxic_hack
522	63	-6105041030	India	Kowoala
533	63	-6185394516	India	dredwerkz
556	63	-6365149295	India	mahesh3008
559	63	-6390725923	India	bhaskar22gupta
567	63	-6500578396	India	linus509
568	63	-6500783747	India	TheAnshul
587	63	-6622483756	India	LazyBoy249
589	63	-6625250746	India	rajgarg
612	63	-6782480551	India	kr-abhinav
629	63	-6928738973	India	drastogi21
636	63	-6947536967	India	lavish315
642	63	-6984795973	India	machhra
661	63	-7088944361	India	shashanka136
670	63	-7186042443	India	abisheka
681	63	-7232889715	India	Vivek1998299
688	63	-7253297578	India	Ashishgup
698	63	-7284753687	India	manavj07
705	63	-7321466145	India	SimplyComplex
710	63	-7351686867	India	Adhyyan1252
713	63	-7357912886	India	ay2306
722	63	-7400878075	India	demoralizer
724	63	-7404905566	India	metalman
727	63	-7414583224	India	phantomhive
733	63	-7440375889	India	raghav19
745	63	-7532428576	India	pushpendra1997
751	63	-7552531268	India	aalapshah12297
756	63	-7570541731	India	C21
761	63	-7601567921	India	tanmayc25
777	63	-7687403654	India	RKJenamani
794	63	-7771147293	India	geekpradd
797	63	-7800050762	India	Lolboyyyy
827	63	-7964975207	India	naveenls
836	63	-8040883653	India	Psychik
837	63	-8042084099	India	spj_29
843	63	-8066734141	India	sarthakag
877	63	-8243138134	India	Abhijith190300
903	63	-8404229803	India	SoSooding
906	63	-8406171315	India	karanjain98
909	63	-8412990782	India	psaini
922	63	-8477313493	India	gaurav172
929	63	-8513929572	India	T1duS399
951	63	-8667327580	India	aryanD.chauhan
963	63	-8734505058	India	tanishqg5325
965	63	-8765769898	India	vishisht_ag
966	63	-8768847320	India	raghav03
976	63	-8822205748	India	leafonthewind
988	63	-8892325671	India	Jaykishan
992	63	-8924236473	India	Bedant
1009	63	-9146993830	India	sakshamb99
1010	63	-9149805739	India	oshhh
1015	63	-9203617254	India	nagpaljatin1411
1018	63	-9208510320	India	anag004
1021	63	-9232333797	India	aman0456
1027	63	-9345021250	India	harkanwarsingh1841@gmail.com
1046	63	-9666136854	India	nitix
1053	63	-9880100899	India	smitpatel1010
1059	63	-9987768326	India	Hitesh_0301
1064	63	-10229852837	India	Learner99
1072	63	-10726768949	India	raja1999
1084	53	-8129196219	India	courtesy
1106	47	-5325124936	India	madhav_1999
1110	47	-5445794137	India	dryairship
1119	47	-5690560618	India	sajmera_2629
1157	47	-6660193926	India	aaryans
1172	47	-6964517623	India	rajdetroja
1178	47	-7179499788	India	Atishayay
1180	47	-7202544456	India	aayush9
1201	47	-7581460027	India	Priyam2k
1202	47	-7586716147	India	chirag11032000
1203	47	-7605075187	India	nagabhushan1995
1206	47	-7670330353	India	Arshad2117
1207	47	-7709169611	India	Mn619
1211	47	-7741607608	India	ashu_moudgil
1212	47	-7755280804	India	ninja_28
1219	47	-7912964914	India	jam1729
1239	47	-8222009609	India	Pulkit100
1255	47	-8375612039	India	DeepThought42
1260	47	-8424115196	India	mehul_02
1265	47	-8501232204	India	manu_sy
