Rank	Score	Penalty	Country	Name
40	100	-6168020902	Vietnam	flashmt
57	100	-6696826082	Vietnam	6aren
83	100	-7254251124	Vietnam	heaptk
172	69	-7351607794	Vietnam	Murica
199	66	-6949026135	Vietnam	s34vv1nd
226	63	-2476536487	Vietnam	chemthan
238	63	-3130790620	Vietnam	iwantfreetshirts
320	63	-4614311525	Vietnam	minhquanym
352	63	-4951483226	Vietnam	low_
407	63	-5392713204	Vietnam	laoriu
441	63	-5708679489	Vietnam	ladpro98
457	63	-5856782722	Vietnam	daipham
596	63	-6801680509	Vietnam	redlcamille
621	63	-6979895905	Vietnam	dqhungdl
704	63	-7374354543	Vietnam	huyvvo
830	63	-8095627344	Vietnam	bvdung
848	63	-8240637435	Vietnam	Combi2k2
859	63	-8342573544	Vietnam	Triracle
897	63	-9558953243	Vietnam	HellAngel070
995	47	-6796143583	Vietnam	conowadays
1042	47	-7768100184	Vietnam	Lightmoon
1177	34	-4651823963	Vietnam	wangvn2508
1216	34	-5590143372	Vietnam	winkhanh
1348	34	-8000192917	Vietnam	letrieu95
1353	34	-8321239160	Vietnam	iostream
1377	32	-3584403991	Vietnam	cuongtv
1446	32	-5511840061	Vietnam	leduythuc
1485	32	-5875438908	Vietnam	hover
1715	32	-7644922630	Vietnam	zyenz123
1757	32	-8058910574	Vietnam	jamienguyen
1794	32	-8664156386	Vietnam	thanglegons
1806	32	-8943467589	Vietnam	IceWiz
1900	29	-2405517349	Vietnam	EmperorQT
1983	29	-2869161118	Vietnam	doleduy
2193	29	-3955571444	Vietnam	qweiop77
2216	29	-4051109687	Vietnam	pqhuy98
2243	29	-4148800324	Vietnam	nxphuc
2286	29	-4308565401	Vietnam	SmileyKat
2313	29	-4466572353	Vietnam	anhnguyenphung
2371	29	-4664575705	Vietnam	rin2401
2415	29	-4826657368	Vietnam	zufius
2623	29	-5806794169	Vietnam	mpn94
2764	29	-6588011586	Vietnam	lethehaiau@gmail.com
2786	29	-6669785859	Vietnam	avnyu
2804	29	-6765347918	Vietnam	Johnny_2002
2807	29	-6772068681	Vietnam	HannahLa97
2868	29	-7042462838	Vietnam	nghuy1610
2875	29	-7096006875	Vietnam	aladine
2918	29	-7287586523	Vietnam	tunglexth
2929	29	-7358870486	Vietnam	quandum
3049	29	-7857986813	Vietnam	sky_os
3076	29	-8016567338	Vietnam	mbfibat
3445	13	-1743673390	Vietnam	duy_sau_rom
3512	13	-2205895290	Vietnam	vedjgnab
3664	13	-3066548212	Vietnam	nhatdx
3688	13	-3205236971	Vietnam	WYCOD.bachly
3714	13	-3308860898	Vietnam	nguyen31hoang08minh2003
4089	13	-4953105162	Vietnam	chitran96
4125	13	-5088684940	Vietnam	HaRiSK
4156	13	-5264371230	Vietnam	Vinhspm
4245	13	-5680611949	Vietnam	Idioter
4255	13	-5725307820	Vietnam	minhcool
4294	13	-5927904468	Vietnam	dpd0703
4350	13	-6166525119	Vietnam	duchk
4363	13	-6207238950	Vietnam	connongdan
4390	13	-6360605563	Vietnam	baopdh
4488	13	-6890831461	Vietnam	knst
4564	13	-7276923656	Vietnam	tsminh
4583	13	-7387351544	Vietnam	VHPro
4590	13	-7410897628	Vietnam	hoatran
4723	8	-4609959763	Vietnam	iamquang95
4997	5	-3627311216	Vietnam	tungnp92
5291	5	-5212205057	Vietnam	dinhvietcuong
5296	5	-5233323330	Vietnam	legendstar
5377	5	-5650648080	Vietnam	nhoxbypass
5385	5	-5707194886	Vietnam	Turboblaze
5405	5	-5804489030	Vietnam	RAZENT
5439	5	-5923706919	Vietnam	HoangViet
5535	5	-6349277634	Vietnam	AmyTran
6046	3	-5428069742	Vietnam	huyn@iastate.edu
6144	0	0	Vietnam	NgMiTam
6144	0	0	Vietnam	sonlh07
6144	0	0	Vietnam	texturer
6151	0	0	Vietnam	BorisBelozerov
6151	0	0	Vietnam	CTKB1997
6151	0	0	Vietnam	GIT
6151	0	0	Vietnam	Julia_Ha
6151	0	0	Vietnam	NewLuminous
6151	0	0	Vietnam	PhuongVb
6151	0	0	Vietnam	QUANG
6151	0	0	Vietnam	bao_do
6151	0	0	Vietnam	binhtranit
6151	0	0	Vietnam	capricornmean
6151	0	0	Vietnam	dung11112003
6151	0	0	Vietnam	gotd
6151	0	0	Vietnam	joker.tainguyen
6151	0	0	Vietnam	jolleekin
6151	0	0	Vietnam	lamgiaukhongkho
6151	0	0	Vietnam	lookskywalker
6151	0	0	Vietnam	mable2405
6151	0	0	Vietnam	manhbeomap123
6151	0	0	Vietnam	ndhp2000
6151	0	0	Vietnam	nguyenqh
6151	0	0	Vietnam	noname81
6151	0	0	Vietnam	nthieu173
6151	0	0	Vietnam	songoku2002
6151	0	0	Vietnam	t-rekt
6151	0	0	Vietnam	thangtq139
