Rank	Score	Penalty	Country	Name
1	58	-843300263	Japan	maroon
2	58	-947452433	France	Rafbill
3	31	-939837178	Russia	ludwig-n
4	22	-211992283	Poland	Mucosolvan
5	22	-212887676	Hong Kong	Jevrii
6	22	-217548375	South Korea	alex9801
7	22	-252407303	Singapore	pavement
8	22	-258568387	Singapore	Zheyuan
9	22	-267532285	United States	hoke_t
10	22	-290949436	China	fstqwq
11	22	-291782034	Vietnam	MofK
12	22	-306468300	India	adarshagr8
13	22	-314475698	Germany	kimbj0709
14	22	-317601608	India	minimalanimal
15	22	-323311206	Lithuania	Aldas25
16	22	-329336199	United States	robslutsky
17	22	-329535409	Malaysia	Evirir
18	22	-332243992	New Zealand	Technocoder
19	22	-336831811	Macau	tinjyu
20	22	-337954799	Lithuania	kryzma
21	22	-338573653	Singapore	some_username
22	22	-340609246	Australia	ccapitalK
23	22	-341212827	South Korea	_dsstar
24	22	-341957108	Singapore	socho
25	22	-344475510	Russia	mikhail.levin@gmail.com
26	22	-348213001	Lithuania	KrK
27	22	-348418148	India	kidon
28	22	-350139404	India	odd_even
29	22	-354662929	Italy	MalleAbile
30	22	-356834712	Peru	racsosabe
31	22	-357241306	Hong Kong	dbschi
32	22	-357788928	India	devaar100
33	22	-358937388	Japan	ir_1st_vil
34	22	-364571517	United States	aditya_arj
35	22	-365547816	India	Mahir83
36	22	-366915252	France	nweeks_
37	22	-368968867	Netherlands	tomsmeding
38	22	-370013264	United Kingdom	kevlee
39	22	-370620582	India	Bugs__Bunny
40	22	-372001050	India	deepak022
41	22	-372554059	Belarus	greencis
42	22	-377623856	France	Tahkare
43	22	-380971524	India	FastestFinger
44	22	-381041357	India	benritmicocode
45	22	-383042240	Belgium	WLZ
46	22	-383371611	Taiwan	oToToT
47	22	-384156867	India	lazy_procrastinator
48	22	-384717733	Brazil	MauricioC
49	22	-385464124	India	kjain1810
50	22	-385837334	China	mvclove
51	22	-386619044	Hong Kong	haleyk
52	22	-387147856	United States	Catalystic
53	22	-387493356	India	sahil_k
54	22	-387646467	Germany	Noobie_99
55	22	-390227370	United Kingdom	george_stelian
56	22	-390769732	Hong Kong	lckcode
57	22	-390942818	United States	limabeans
58	22	-391500937	Australia	clementchiu1116@gmail.com
59	22	-392127769	Hong Kong	mariowong
60	22	-395504774	India	lakshay_nasa
61	22	-395985734	India	nj099
62	22	-396724625	India	sandeep_kumar_ece
63	22	-396947189	China	conan1024hao
64	22	-397431648	Azerbaijan	namazov
65	22	-398986521	India	sudoBug
66	22	-399653431	Russia	TonySnark
67	22	-399685640	Israel	Omer342
68	22	-400691928	India	codelegend
69	22	-400783002	India	GuptaGaurang
70	22	-400809619	India	mayank1578
71	22	-401812502	India	Wreqx
72	22	-401858670	India	Yash57
73	22	-403314075	India	little_angel
74	22	-404542933	China	BugDomintor
75	22	-405441754	India	tanuj208
76	22	-405587999	India	BadBot
77	22	-406971560	Malaysia	Spheniscine
78	22	-407938749	Brazil	tomaz1502
79	22	-408022908	India	zeus_iitg
80	22	-408611754	India	Nandika123
81	22	-409361888	India	kunj017
82	22	-409476415	Australia	sragavan
83	22	-414228958	Japan	cympfh
84	22	-414572626	India	Anmol17220
85	22	-415247084	South Korea	hyeonseop
86	22	-415859555	Croatia	ahri
87	22	-416513965	United States	AliPervaiz
88	22	-417868073	Indonesia	raditya1710
89	22	-418025989	Indonesia	Rwhendry
90	22	-418312866	Poland	piurko
91	22	-420509869	Romania	Alex18mai
92	22	-420587143	India	aman28rwt
93	22	-421016658	Taiwan	WJT
94	22	-421853617	India	riz_1_
95	22	-422229128	Brazil	dilsonguim
96	22	-422845037	Georgia	Demetre
97	22	-423996986	China	jcvb
98	22	-424140193	Singapore	ryansee
99	22	-424595874	Japan	nrvft
100	22	-425610228	Lebanon	Charbel
101	22	-426665943	India	lovish
102	22	-427252411	New Zealand	Greenhorn643
103	22	-428733593	India	vasu0403
104	22	-428945756	India	know_no_cp
105	22	-429404415	Taiwan	joylintp
106	22	-429785372	Ukraine	vladomar@gmail.com
107	22	-430295406	Singapore	meeeep
108	22	-430671836	India	shubham107
109	22	-432881011	Egypt	ZeyadKhattab
110	22	-433964352	Netherlands	Mat1012
111	22	-434756849	India	hkyiitd
112	22	-435093098	Taiwan	puppy955101
113	22	-435274874	India	WA_Specialist
114	22	-436308563	Romania	BlueDiamond
115	22	-436516901	India	treenode
116	22	-436999775	Ukraine	mishaprigara
117	22	-437837577	China	wlqktc
118	22	-438692021	Armenia	Scissors_Ss
119	22	-438736442	Ukraine	RomaWhite
120	22	-439486508	Romania	Carol_Luca
121	22	-440231747	India	vamsikrishna3
122	22	-441272096	Japan	lyoz
123	22	-442112486	China	sdhyabc
124	22	-442186509	India	codearth01
125	22	-444965946	India	YadurajRao
126	22	-445152081	United States	BitLorax
127	22	-445252751	South Korea	leejseo
128	22	-445855948	Japan	tyawanmusi
129	22	-446550663	India	udayiitkgp
130	22	-446636345	China	灵岩
131	22	-446890479	China	qkoqhh
132	22	-447513313	India	AkJn
133	22	-447798024	Russia	it4kp
134	22	-448063243	United Kingdom	Mikov
135	22	-448572987	India	ucntstopme
136	22	-448936113	India	conan_0
137	22	-449057403	Germany	amr962
138	22	-451956804	Brazil	Leonardo_Paes
139	22	-452989036	Russia	maxon.martynov
140	22	-453122450	India	gupta_samarth
141	22	-454031923	India	0xero7
142	22	-454234158	India	emose
143	22	-455803264	Singapore	sijie123
144	22	-455931895	Russia	CtrlAlt
145	22	-456508769	China	jizhenjun
146	22	-457011117	India	kushagra99
147	22	-457931975	China	xyw5vplus1
148	22	-458353002	Japan	ibuki2003
149	22	-458766086	Norway	matias
150	22	-458771471	Romania	ValentinSavoiu
151	22	-459268960	Ukraine	rudenko_gold
152	22	-459415780	India	udbhav99
153	22	-459679821	South Korea	gs18115
154	22	-460006625	Poland	Mikpol
155	22	-460042202	India	Pawan_29
156	22	-460746580	Belarus	kostyavilcheuski
157	22	-461146408	Peru	Graphter
158	22	-461221904	India	anuraganand
159	22	-461382639	India	harshit15
160	22	-463223448	Ukraine	giraffeh
161	22	-464102737	Malaysia	DavidTan
162	22	-464942023	France	AlexSand
163	22	-465775368	Russia	okwedook
164	22	-466976885	India	patwari26
165	22	-467075674	India	601hash
166	22	-467290484	India	Heyayushh
167	22	-467561887	Netherlands	mohmahkho
168	22	-467863472	India	Skiller
169	22	-468282561	Brazil	mattioli
170	22	-468478352	India	sahil_bansal
171	22	-468792958	India	un_titled
172	22	-469347734	Spain	javierlc2000
173	22	-469920103	India	nagabhushan1995
174	22	-470050332	Portugal	DanV
175	22	-471030714	Russia	evstigneevg
176	22	-471125363	Kazakhstan	almasalmas
177	22	-471372776	India	rishabh_singh_
178	22	-471494058	Indonesia	fushar
179	22	-472090958	Japan	mugen1337
180	22	-472136841	Poland	jperlin
181	22	-473211211	Finland	Bntti
182	22	-474067385	Belarus	thirty_something
183	22	-474446426	India	souradeep1999
184	22	-475069357	India	vntshh_
185	22	-475711922	Japan	nuts1216
186	22	-475783175	Japan	socha
187	22	-475819466	United States	__ea
188	22	-475947741	Romania	Alexa2001
189	22	-476973575	Taiwan	HandsomeLiu37
190	22	-477571509	India	anuragsingh804
191	22	-477722457	India	omshubham
192	22	-477747170	South Korea	ijleesw
193	22	-478027726	India	realnimish
194	22	-478159746	Japan	hiro116s
195	22	-478461080	Indonesia	Littleboy123
196	22	-478742949	Moldova	miguell
197	22	-479142892	China	z-x_x-z
198	22	-479453016	India	ymahajan98
199	22	-479582696	Taiwan	iaNTU
200	22	-480094696	India	abhi2402
201	22	-480931487	France	Jethol
202	22	-480966906	India	d_shi
203	22	-482152338	India	devanshugupta
204	22	-483555478	India	shobhit907
205	22	-484007860	Vietnam	tranhieudev23
206	22	-485528335	Taiwan	nella17
207	22	-485845102	Argentina	marcoskolodny
208	22	-487415067	South Korea	lapi5
209	22	-488125225	India	l0ne__w0lf
210	22	-488869550	Cuba	albeXL
211	22	-489979532	Ukraine	ToTheMoon
212	22	-490478548	India	Wiz_CS
213	22	-490566666	India	nitesh_gupta
214	22	-490964342	India	srikkanthr
215	22	-491196875	India	Rajdeep2001
216	22	-491657226	India	rushabh7
217	22	-492391439	Russia	mathalex
218	22	-492612693	Canada	amahto
219	22	-493170349	India	shubhang._.p5
220	22	-493246338	Brazil	viniciusth
221	22	-493946383	Cyprus	ykabaran
222	22	-494054899	India	tejas10p
223	22	-494860382	Singapore	Shio
224	22	-494899094	Denmark	TheRedLegend
225	22	-494927499	India	WeirdBugsButOkay
226	22	-494961958	Japan	ward1302
227	22	-495167498	India	anil9717
228	22	-495231800	Taiwan	hortune
229	22	-495404320	Russia	ZhukovDmitry
230	22	-495481822	India	rahulgulati0
231	22	-495753445	India	bluishgreen
232	22	-496060052	Russia	serezha.egorov
233	22	-496370992	India	dalip_patra
234	22	-496628054	Thailand	zoomswk
235	22	-497836882	United States	Jackieeee
236	22	-497965564	Portugal	adbjesus
237	22	-498146649	India	Altitude
238	22	-498488800	India	vichitr
239	22	-498993218	India	depressedaf
240	22	-499027288	Lithuania	DovydasVad
241	22	-499655018	India	rsd5112
242	22	-499897596	India	Crazy__1234
243	22	-500222812	China	aa2985759
244	22	-500227862	India	KaustubhMiglani
245	22	-500629887	Sweden	TobiasGlimmerfors
246	22	-500709162	Bangladesh	RobinHood3082
247	22	-501672231	India	ss1729
248	22	-502127959	Taiwan	zolution1218
249	22	-502165851	Belarus	hloyaygrt
250	22	-502626027	Russia	antony191
251	22	-502806908	Russia	maxim.shuklin
252	22	-503018882	Decline to Answer	abeaumont
253	22	-503158413	China	lozy
254	22	-503415929	Romania	pandrei
255	22	-503464083	India	kalpitk99
256	22	-503597714	India	spar5h
257	22	-503805775	India	H4Wk3ye
258	22	-504554472	Poland	misztsu
259	22	-505165379	Bangladesh	Matrix.code
260	22	-505418472	India	prey176
261	22	-505792861	India	hell_hacker
262	22	-505807057	India	r2066
263	22	-506871132	Colombia	jcbages
264	22	-506904559	Philippines	nayrb
265	22	-507233240	Macau	BoxWorld
266	22	-507574411	India	gurshaansingh
267	22	-507637289	India	D0RAEM0N
268	22	-507899635	Brazil	AlbertoTDNeto
269	22	-508055876	India	rohitkv77
270	22	-508290125	India	rohangoyal2014
271	22	-508316998	India	BrownieTK
272	22	-508777501	Netherlands	CHelle
273	22	-508845121	Japan	Johniel
274	22	-509270518	Australia	super_aiderton
275	22	-509903825	India	hp1999
276	22	-510196235	India	mtnshh
277	22	-510321641	India	ishanranga11
278	22	-510393390	China	geyanlu
279	22	-510906504	India	kanyaraasi
280	22	-510940438	Kazakhstan	LeMans
281	22	-511745820	Moldova	21August
282	22	-511942525	Japan	legosuke
283	22	-512299144	India	kainthcool
284	22	-512333273	India	sushant_verma
285	22	-512733088	South Korea	JJaewon
286	22	-512877782	South Korea	SLM
287	22	-512886989	India	archit120
288	22	-513051979	Russia	yailya
289	22	-513582573	Germany	Zeldacrafter
290	22	-513753575	China	indestinee
291	22	-514605580	India	paramk
292	22	-514988950	India	umang99m
293	22	-516644311	India	shaanknight
294	22	-516665252	South Korea	kajebiii
295	22	-516900544	Hungary	robymus
296	22	-516935023	India	bb2211
297	22	-517571607	India	codeguy12
298	22	-517905735	Bulgaria	pepi_angelov
299	22	-518323943	India	hack_u
300	22	-518678871	Taiwan	Maxwill
301	22	-519343620	South Korea	sesang06
302	22	-519653545	South Korea	seewoo5
303	22	-520096856	Japan	earlgrey_yh
304	22	-520102900	India	vitz
305	22	-520343633	South Korea	wwiiiii
306	22	-520350163	India	khushiagr99
307	22	-521161860	Egypt	It_Wasnt_Me
308	22	-521637022	Vietnam	binhtranit
309	22	-521640786	Egypt	Uzumaki_Narutoo
310	22	-521922780	Belarus	kimden
311	22	-522265832	Israel	kingmoshe
312	22	-522312633	Bulgaria	Sorting
313	22	-522590569	India	logix
314	22	-523015877	India	the___reaper
315	22	-523183203	South Korea	showx123
316	22	-523210212	India	Hitman_2212
317	22	-523715210	Japan	AlbertZ
318	22	-525207813	United States	thatprogrammer
319	22	-525529272	India	simratbrar
320	22	-525721306	Russia	KungA
321	22	-525832720	Russia	blsd
322	22	-525892280	India	sigma_g
323	22	-525979994	India	CrapTheCoder
324	22	-525995166	India	PoojaB01
325	22	-526268010	India	Kevinpatel_20
326	22	-526282763	Sweden	Kristofer
327	22	-526916580	India	Rostux
328	22	-527328193	Indonesia	IgoRamli
329	22	-527580541	Indonesia	afaji321
330	22	-527815759	Lebanon	kikoawesome
331	22	-528870351	Latvia	whaleee
332	22	-529163305	India	c_utkarsh
333	22	-529553678	India	lolololol
334	22	-529608148	India	Mervin1999
335	22	-529911359	India	gKashish
336	22	-530134811	India	sanketM
337	22	-530532287	Hong Kong	toshi321
338	22	-530823465	Ukraine	mshcherbina
339	22	-531100169	Bangladesh	SK_Sabit
340	22	-531350996	Bangladesh	Iftekhar_Hakim_K
341	22	-532196087	Lithuania	vstrimaitis
342	22	-532317172	Australia	PurplePixie
343	22	-532345237	Hong Kong	samsonwong522
344	22	-532826835	India	AshutoshSundriyal
345	22	-532866506	Romania	MagirescuTudor
346	22	-534155398	India	vivace_jr
347	22	-534841551	India	shashwatchandra
348	22	-535003459	Taiwan	udchen
349	22	-535442198	Kazakhstan	iitsDimash
350	22	-535584865	India	Arshad2117
351	22	-536121261	Peru	GuillermoInglis
352	22	-536182123	Australia	ch41rmn
353	22	-536871263	Romania	Andrei1998
354	22	-536882016	Russia	Olerinskiy
355	22	-536950479	Ukraine	perekopskiy
356	22	-536998700	France	Pierroteknik
357	22	-537327999	Canada	fishlicker
358	22	-537548236	Egypt	eagle93
359	22	-537672252	Russia	rek
360	22	-537864541	Vietnam	pqhuy98
361	22	-538158331	India	aman18e
362	22	-538377006	Indonesia	ekeitaro
363	22	-538768673	Taiwan	Yinghao
364	22	-539212190	India	infyy
365	22	-539562661	Singapore	kym2006
