Rank	Score	Penalty	Country	Name
4	100	-3108486697	China	aa2985759
5	100	-3564682298	China	__INT
20	100	-4983610726	China	Aguin
21	100	-5000418324	China	jcvb
25	100	-5180488000	China	GetAWrongAnswer
33	100	-5542290607	China	SkyDec
35	100	-5608833157	China	upczgx
39	100	-5814321884	China	sdhyabc
41	100	-5945782704	China	zp4421@gmail.com
47	100	-6245805997	China	z.shi
53	100	-6454049325	China	Curs0r
54	100	-6466178878	China	tc2000731
55	100	-6492613041	China	wos1239
58	100	-6573479360	China	Loct
66	100	-6746216916	China	xqly
67	100	-6748818958	China	ROBINL
76	100	-7035154423	China	MikeZZZ
83	100	-7226203863	China	mvclove
92	100	-7584174931	China	mauricejoe
94	100	-7593733579	China	wangchuhao200402210
98	100	-7661032393	China	absi2011
99	100	-7695703080	China	Frank1992
111	100	-7975822276	China	WA_King
139	100	-8518809871	China	fstqwq
147	100	-8600712422	China	badcw
148	100	-8634947877	China	xy961218
164	100	-8975362214	China	xitongsys
168	100	-9066571850	China	tieway59
173	100	-9170606286	China	chaoshxxu
174	100	-9170795119	China	lainring
180	100	-9263493057	China	qlspirittan
196	100	-9608132893	China	HallStattMia
201	100	-9769670201	China	bakapiano
206	100	-9905786992	China	anorange0409
220	100	-10425024552	China	SilentSelene
225	100	-10773045727	China	huizew
226	100	-10834513275	China	Bucktres
231	100	-10925974073	China	erutan
248	83	-8199870113	China	bit.yangxm
258	83	-8608551571	China	zdragon
267	83	-9417545711	China	Riven_boom
270	83	-9540982216	China	meixinyu
271	83	-9609774619	China	luise6161
280	73	-5515196811	China	Lucida
283	73	-6801146731	China	prowindy@gmail.com
287	73	-7286359668	China	Akatsukis
289	73	-7711422587	China	yuzeming
293	73	-8005641632	China	Nickwzk
298	73	-8613308817	China	zrphercule@gmail.com
303	73	-9305137022	China	z-x_x-z
308	68	-2083948114	China	Gromah
326	68	-3974950355	China	EndlessCheng
363	68	-4765760485	China	SleepyBag
377	68	-4946397431	China	zzzzzzzero
396	68	-5114446681	China	jizhenjun
412	68	-5336024611	China	satchipear
419	68	-5431174190	China	wsimhaha
455	68	-5629489009	China	pkwv
460	68	-5641463041	China	hdu.toraoh
537	68	-6314145378	China	langdamao
545	68	-6366256522	China	_aether
548	68	-6370825183	China	anhpp123
552	68	-6421192967	China	Ambling
567	68	-6480603411	China	OldSaltyFish
612	68	-6660181379	China	yue12392
634	68	-6791175270	China	shark162799
635	68	-6794470841	China	zilinj
638	68	-6818036773	China	hkxxx
661	68	-6915764180	China	bloisterclt
663	68	-6917891774	China	JasonWH
713	68	-7111060190	China	LyonLys
717	68	-7123181412	China	KLINE
732	68	-7211557331	China	geyanlu
737	68	-7245488076	China	xxn
740	68	-7260545757	China	freegyp
742	68	-7270488967	China	↑↓CH2
749	68	-7319467647	China	ashi009
751	68	-7324136182	China	Tao_Cheng
757	68	-7346696184	China	TaoSama
767	68	-7401731482	China	LostRating
768	68	-7402541815	China	D2JP
782	68	-7457991930	China	Nitrogens
799	68	-7531827396	China	Code92007
805	68	-7562954759	China	limbo_null
813	68	-7584725287	China	Nanlihao
819	68	-7603669885	China	ccw630
825	68	-7629434936	China	aladdinlzs
838	68	-7696814143	China	hzw
845	68	-7713961724	China	moneyDragon
846	68	-7716912852	China	Vindicator
876	68	-7869597050	China	Shee11
877	68	-7876110161	China	xyw5vplus1
879	68	-7879476902	China	yplusplus
885	68	-7893707418	China	jmzhao
905	68	-7974435703	China	sweet_fish
912	68	-8036689760	China	ShaunWang
921	68	-8064136507	China	IDrandom
929	68	-8113203662	China	shiuang
939	68	-8164862143	China	eowinye@gmail.com
966	68	-8284296899	China	cookiefan
1002	68	-8434460485	China	yihaofu
1013	68	-8469302775	China	KisekiPurin2019
1021	68	-8494569651	China	caozl
1025	68	-8501871950	China	Yeah2333
1039	68	-8552221660	China	underkarma
1073	68	-8650931943	China	wlqktc
1107	68	-8810814243	China	zihachan
1122	68	-8851702844	China	mofhu
1146	68	-8963791292	China	humwawe
1152	68	-8985050520	China	lithops
1163	68	-9023304758	China	Haimin
1180	68	-9095830934	China	thinkingbird@gmail.com
1181	68	-9096466795	China	Tony_Ou
1199	68	-9146048315	China	cjc
1250	68	-9362993886	China	flyingmouse
1252	68	-9375767190	China	gjy@ustc.edu.cn
1266	68	-9436660191	China	laughinging
1322	68	-9813976032	China	YuMS
1350	68	-10082235690	China	tfuge_
1359	68	-10171037948	China	panyuchong
1367	68	-10297381348	China	Dashes
1383	68	-10402784505	China	conan1024hao
1409	68	-10897743840	China	sccssc
1424	68	-12274302297	China	indestinee
1428	64	-5325643751	China	灵岩
1436	64	-7119294728	China	YanWQmonad
1441	64	-7581637219	China	Dijkstra_Liu
