Rank	Score	Penalty	Country	Name
1	100	-2106486303	France	Rafbill
25	100	-7030459630	France	hugopm
278	68	-4166466138	France	nweeks_
300	68	-4628000357	France	brurrito
322	68	-4955427464	France	neomas
346	68	-5220311753	France	GeoffreyOnRails
369	68	-5457443230	France	xtof.durr
428	68	-5846478273	France	Isammoc
431	68	-5881282747	France	fingerdash
454	68	-6105916414	France	altrouge
471	68	-6175768735	France	AlexSand
473	68	-6215465482	France	htmb
513	68	-6490678601	France	forty
543	68	-6630576961	France	Nagrarok
570	68	-6765241183	France	plhery
609	68	-6937067412	France	cobra_
676	68	-7235896506	France	eddie.von.becehem
697	68	-7340729598	France	Garvys
700	68	-7356045570	France	mridiot
715	68	-7427267201	France	drunkl33
741	68	-7539891862	France	brospi
769	68	-7654031666	France	-adrien-
790	68	-7737868938	France	noelnadal
847	68	-8026337239	France	Pierroteknik
850	68	-8045136738	France	treziac
856	68	-8059023898	France	Antonmaster007
870	68	-8137290964	France	Jethol
874	68	-8155409633	France	pdeb
905	68	-8290182962	France	Peyha
918	68	-8346358277	France	akhlif
957	68	-8501609514	France	Jahz
976	68	-8562307279	France	lil_meyer
993	68	-8629305459	France	BrunoT
1006	68	-8675947868	France	Xelote
1032	68	-8804136418	France	Thundzz
1038	68	-8830489649	France	nspp
1044	68	-8845125907	France	Kangourou42
1045	68	-8849262620	France	VincentPinet
1074	68	-8969020898	France	Ifugao
1093	68	-9051540832	France	Aurel
1137	68	-9197723501	France	nitrogenc
1145	68	-9231553106	France	GRacineux
1150	68	-9267934152	France	pascalpons
1171	68	-9352337982	France	Jarjar
1180	68	-9385090130	France	RayanChikhi
1219	68	-9595690316	France	QuentinBlampey
1267	68	-9883526896	France	ClémentChouteau
1281	68	-10085578892	France	Padam_Louis
1306	68	-10315404658	France	mattr
1310	68	-10340464213	France	gdrtf
1327	68	-10493106649	France	Kodama
1341	68	-10669381573	France	MetaIke
1351	68	-11016233543	France	YouJustLostTheGame
1358	68	-11602775638	France	Tahkare
1421	58	-2470251427	France	Programort
1429	58	-2979924094	France	oyster_brain
1432	58	-3115135640	France	Nechepso
1434	58	-3184754988	France	renault
1478	58	-4169137490	France	RainierJack
1490	58	-4431452324	France	SuperDupont
1533	58	-5141119050	France	tshpak
1540	58	-5264714014	France	EtienneW
1577	58	-5994459339	France	morugan
1607	58	-6669067100	France	LaPatate
1621	58	-6848150730	France	Niols
1643	58	-7225745973	France	Dravini
1684	58	-7848180323	France	LeBossMax2
1706	58	-8160686918	France	homersimpsons
1743	58	-8741528346	France	SimonD
1761	58	-8933692017	France	Künchtler
1766	58	-9065062429	France	Kaiju
1772	58	-9151174372	France	LoïcCeb
1775	58	-9186894419	France	E-lex
1777	58	-9229775514	France	phh
1784	58	-9325866380	France	luctchak
1843	57	-8769882577	France	Skril
1912	51	-5827584622	France	RyZum
2125	51	-7715819272	France	algocorner
2126	51	-7718756995	France	cholaknight
2149	51	-7876381219	France	Depheux
2386	51	-9842039537	France	martindevi
2410	51	-10780830574	France	sliard
2418	50	-8781383789	France	pierre.gourseaud
2426	48	-6786330431	France	chimene
2438	48	-8600994846	France	redvasily
2474	41	-3412980422	France	bemethor
2481	41	-3516008001	France	mitsubachimaya
2497	41	-3741082733	France	succo
2514	41	-3952711625	France	chevalfoucher
2534	41	-4205145717	France	UyenNguyen
2547	41	-4321135682	France	Kerl
2568	41	-4453986869	France	romi1502
2664	41	-4995544822	France	gfauchart
2690	41	-5158474035	France	Marimout
2744	41	-5407973325	France	c3dd3c
2800	41	-5708778241	France	a@b.com
2802	41	-5711867047	France	krivonogov
2934	41	-6302562796	France	Frelonquai
2940	41	-6338377099	France	OoDeLally
3059	41	-6797476758	France	Massoud_le_Grand
3082	41	-6905352105	France	2b
3126	41	-7062114261	France	LionelG
3239	41	-7526686682	France	Malleek
3289	41	-7743666536	France	Laurent_Roche
3414	41	-8247116866	France	pierreol
3469	41	-8437374834	France	VincentBouttier
3528	41	-8646601507	France	jonenst
3572	41	-8814318351	France	Bouh
3620	41	-8995288160	France	bmartin
3636	41	-9083353126	France	Riron
3739	41	-9951109082	France	NL
3765	36	-8319687257	France	darkantoine
3767	36	-8765851276	France	barikh
3768	36	-9105409539	France	CalzoneChampiPoivron
3911	32	-4785229773	France	Astrae
4032	32	-5719193325	France	Pierre-Louis
4045	32	-5797899490	France	matcha42
4131	32	-6464446178	France	dauriac
4155	32	-6647931462	France	Tylu
4227	32	-7247801619	France	paulj
4361	32	-8527105620	France	briag
4444	32	-10041339297	France	pradipk
4465	31	-2181771684	France	loscmatt
4493	31	-2713105204	France	GWSUCC
4545	31	-3351470618	France	DevInside
4584	31	-3748084532	France	levantuan
4591	31	-3832590483	France	Lairv
4765	31	-5003445458	France	Cc
4870	31	-5696400852	France	Rrramzy
4907	31	-5896220406	France	aepsilon
4947	31	-6124533631	France	afuentes
4996	31	-6365294332	France	vince91
5072	31	-6829076537	France	0Be
5096	31	-6993243837	France	Seb314
5167	31	-7553396560	France	sknat
5226	31	-7967778985	France	marccarre
5251	31	-8149779745	France	pogozio
5267	31	-8264640454	France	Niakrais
5327	31	-8666853309	France	ALR
5337	31	-8759002806	France	Bybuu
5353	31	-8869269752	France	lopoto
5354	31	-8872235821	France	BigMamadou
5360	31	-8909582983	France	ayshiff
5528	22	-709062281	France	guilhemn
5560	22	-757394989	France	Eichhornchen
5950	22	-1146647889	France	funboarder13920
6010	22	-1196045758	France	Yannou27
6424	22	-1533437941	France	abel0b
6426	22	-1534577737	France	diodfr
6445	22	-1550040768	France	Lablebi
6454	22	-1555179550	France	AndreLaxe
6471	22	-1571391944	France	camlout
6487	22	-1590813386	France	cdelabou
6504	22	-1604007955	France	Ghostoplo
6561	22	-1654290841	France	Zhayrgh
6582	22	-1672613080	France	Firgaty
6592	22	-1686635581	France	gregoire.lafont
6711	22	-1790229023	France	shftd
6927	22	-2048696382	France	Braxxe
7006	22	-2119384105	France	passil_t
7024	22	-2134234225	France	lrdoz
7308	22	-2499739732	France	chongguang
7544	22	-2837700463	France	jsiie
7548	22	-2840394302	France	clm42
7579	22	-2895595751	France	mrcr0que
7686	22	-3033777550	France	LuciaVonTelmus
7756	22	-3164068479	France	Nuparu
7801	22	-3237211457	France	CéramiqueLimoges
7802	22	-3238165046	France	figu
7805	22	-3244691884	France	redst0
7811	22	-3251547125	France	BoeingX
7823	22	-3273060848	France	Nurenai
7892	22	-3395553101	France	Tewdrig
7931	22	-3477013104	France	Adnane
8051	22	-3740315609	France	MaTTs
8096	22	-3848258555	France	Dodouce
8102	22	-3860218559	France	yanndev
8123	22	-3912179330	France	royashiki
8161	22	-4019417973	France	_SERGE_
8162	22	-4023601543	France	ro_obot
8187	22	-4101765806	France	nepotu.
8231	22	-4209272748	France	Tobide
8238	22	-4217911089	France	corinnekm
8253	22	-4271696936	France	Hemitheconyx
8266	22	-4309795650	France	Onche
8269	22	-4312894816	France	Lysrt
8563	22	-5461421643	France	Langrognet
8617	22	-5713933879	France	VinZH
8648	22	-5874219534	France	amine
8652	22	-5892725360	France	arandomstring
8745	22	-6492224655	France	thomaub2
8752	22	-6560682429	France	tdcn
8792	22	-6861951793	France	Kandhum
8809	22	-6992409828	France	Sapio
8851	22	-7540792435	France	X.D
8885	22	-7818566004	France	Renaud42
8893	22	-7856643267	France	Julieng
8942	22	-8701618301	France	riko
8943	22	-8722248872	France	Kan1
8982	22	-10597990362	France	LROTP
9009	19	-7778102100	France	Blanuis
9012	19	-8072107181	France	drbalan
9016	19	-8662390557	France	nootal
9024	14	-5846182185	France	ChrisViking
9034	13	-8868283851	France	mapigma
9045	10	-1437993692	France	Cjdcoy
9074	10	-1992242831	France	mHelba
9121	10	-3207365218	France	guyk
9182	10	-5091264047	France	Pigloo
9249	10	-8597460122	France	guy.besseng
9259	10	-10253236163	France	vexilla72
9264	9	-3044028917	France	yarzinthe
