Rank	Score	Penalty	Country	Name
6	100	-4420301623	Poland	jacynkaa
127	84	-7548187388	Poland	ljaneczk
160	84	-8402948652	Poland	Rakrab
204	84	-9415984295	Poland	piurko
213	84	-9582588467	Poland	Arnyev
240	84	-10618671889	Poland	jperlin
263	68	-3635238205	Poland	misztsu
280	68	-4211328253	Poland	PMichalak
328	68	-5011879089	Poland	mkasp98
418	68	-5747047597	Poland	Mikpol
423	68	-5787382798	Poland	TomaszPawicki
433	68	-5894097921	Poland	pdwd
460	68	-6133566759	Poland	kempusss
567	68	-6735467598	Poland	pixeusz
614	68	-6946865544	Poland	scezar
639	68	-7040133905	Poland	loK10
640	68	-7040205631	Poland	danielkl
709	68	-7408179310	Poland	Linkus
775	68	-7687483171	Poland	NaczelnyRachmistrz
778	68	-7706189891	Poland	~Asymmetry~
788	68	-7733785455	Poland	Bouncheck
883	68	-8215200942	Poland	franciszek.malinka@gmail.com
932	68	-8412647921	Poland	Mucosolvan
964	68	-8519195641	Poland	lasuch
989	68	-8615102690	Poland	pavveu
1013	68	-8711234667	Poland	lraszkiewicz
1066	68	-8931165145	Poland	grom13
1068	68	-8945227294	Poland	anonim321
1071	68	-8963165983	Poland	KL
1128	68	-9168386458	Poland	metiulekm
1140	68	-9215122557	Poland	Nhemisirmkow
1236	68	-9710583242	Poland	Markadiusz
1239	68	-9738884907	Poland	woocash33
1268	68	-9892889545	Poland	Adespawn
1316	68	-10364710415	Poland	Vakula
1338	68	-10643858287	Poland	rapast
1431	58	-3019264086	Poland	ilo12
1445	58	-3549432317	Poland	Mindstorm
1475	58	-4155488753	Poland	JKS
1497	58	-4551260753	Poland	boogen
1509	58	-4721572262	Poland	Th3B0r3d
1525	58	-5042638371	Poland	LF
1550	58	-5389903900	Poland	marim
1615	58	-6758551629	Poland	kernel_panic
1953	51	-6278439331	Poland	macieck9
1958	51	-6312922217	Poland	skrzypl1
2075	51	-7367728470	Poland	tafit3
2181	51	-8132677490	Poland	youri
2291	51	-8899059745	Poland	przem14
2321	51	-9105851449	Poland	VVz
2327	51	-9148231867	Poland	Yozer
2398	51	-10193735701	Poland	tk1258
2511	41	-3921020901	Poland	Domcio345
2625	41	-4818991755	Poland	Neverous
2706	41	-5244339479	Poland	mkoijn
2773	41	-5515373520	Poland	Ache
2839	41	-5861367169	Poland	majra
2906	41	-6170224157	Poland	rforrester
2915	41	-6224988425	Poland	Kussy
3026	41	-6631686628	Poland	swan7
3071	41	-6828141224	Poland	maciektr
3122	41	-7053381716	Poland	Antollo
3151	41	-7148909482	Poland	ymb
3159	41	-7174841317	Poland	wmakos3
3240	41	-7529137341	Poland	MateoS
3255	41	-7597522538	Poland	bloqdymary
3263	41	-7619941361	Poland	-_-INV4D3R-_-
3288	41	-7731986648	Poland	[HW]Cortez
3331	41	-7873306284	Poland	er2er2
3413	41	-8239787096	Poland	Myrthan
3439	41	-8309495325	Poland	d123
3462	41	-8416918675	Poland	Maciej_Mielczarek
3486	41	-8496506106	Poland	kubusgol
3507	41	-8568523601	Poland	Pioter
3511	41	-8582744024	Poland	franio
3520	41	-8627383512	Poland	JedrzMar
3550	41	-8741619062	Poland	gawarkiewicz
3606	41	-8962098690	Poland	michal.wieckowskii@gmail.com
3642	41	-9123402408	Poland	jacekz
3708	41	-9523286509	Poland	Karintor
3720	41	-9667214464	Poland	gaha
4216	32	-7170302845	Poland	wcqaguxa
