Rank	Score	Penalty	Country	Name
62	84	-4445625164	United Kingdom	DavidEdey
95	84	-6531313342	United Kingdom	robostac
191	84	-9033060650	United Kingdom	knabbers
247	84	-11495322413	United Kingdom	dratini0
301	68	-4636611044	United Kingdom	johno
336	68	-5092678663	United Kingdom	AMorson
366	68	-5440887214	United Kingdom	semisimple
374	68	-5483622429	United Kingdom	brasspots
376	68	-5499591380	United Kingdom	toonjim89
393	68	-5614106931	United Kingdom	Feadoor
412	68	-5708161646	United Kingdom	ol.allbless@gmail.com
415	68	-5730370879	United Kingdom	SpaceDog
477	68	-6283657043	United Kingdom	ackien
552	68	-6652124309	United Kingdom	Roman1
588	68	-6860475629	United Kingdom	maxhort
591	68	-6880628759	United Kingdom	Eric.W
595	68	-6894771003	United Kingdom	Bradrin
601	68	-6911750567	United Kingdom	Trexer
623	68	-6987633753	United Kingdom	thetenthturnip
710	68	-7410439977	United Kingdom	mhsmith
718	68	-7435112441	United Kingdom	gudavid
791	68	-7743794383	United Kingdom	BorisDeletic
808	68	-7832951648	United Kingdom	Gev
812	68	-7841423302	United Kingdom	maxsmith
825	68	-7895885504	United Kingdom	ejrolls
889	68	-8243864306	United Kingdom	dhatouchyk@gmail.com
892	68	-8254010973	United Kingdom	ChrisKnott
955	68	-8498190605	United Kingdom	Birid
1031	68	-8799642591	United Kingdom	george_stelian
1117	68	-9124262172	United Kingdom	Doktora
1228	68	-9651129617	United Kingdom	john21
1231	68	-9678194821	United Kingdom	peternal.flame
1271	68	-9988851081	United Kingdom	z-dot
1313	68	-10354373556	United Kingdom	valmed
1324	68	-10436598159	United Kingdom	badger4life
1408	67	-10650760619	United Kingdom	Mikov
1418	58	-2350005719	United Kingdom	LDFrank
1428	58	-2910929808	United Kingdom	basimkhajwal
1442	58	-3412012269	United Kingdom	Artho
1535	58	-5174112981	United Kingdom	jfielding
1543	58	-5305087808	United Kingdom	Greatlemer
1622	58	-6870267639	United Kingdom	arcayn
1659	58	-7417828515	United Kingdom	bradjstu
1724	58	-8503188144	United Kingdom	TwmStone
1753	58	-8843727216	United Kingdom	lordly-stallion
1758	58	-8904204917	United Kingdom	THJSmith
1779	58	-9276631691	United Kingdom	ananos
1988	51	-6538294983	United Kingdom	kevlee
2120	51	-7681824208	United Kingdom	bootandy
2349	51	-9318773244	United Kingdom	iivvaann.andreev@gmail.com
2423	48	-6150899076	United Kingdom	ak47Na
2594	41	-4641292068	United Kingdom	vimtone
2630	41	-4827892079	United Kingdom	erictong
2692	41	-5168548045	United Kingdom	KamilJ
2756	41	-5450193050	United Kingdom	eratos
3010	41	-6575381425	United Kingdom	Ashok176
3109	41	-7011935585	United Kingdom	GrannySmith
3163	41	-7199564839	United Kingdom	Henco
3514	41	-8601517549	United Kingdom	markmb
3611	41	-8973989167	United Kingdom	rd4656
3613	41	-8974922880	United Kingdom	ctpeepee
3698	41	-9427456974	United Kingdom	kanishkalikhanna
3724	41	-9776194078	United Kingdom	Adey1989
3741	41	-10011173093	United Kingdom	freebuddhistjay
3754	41	-11557779475	United Kingdom	fergal.duggan99@gmail.com
4112	32	-6344332564	United Kingdom	Saravanan21
4200	32	-7003885848	United Kingdom	RupertW
4379	32	-8738204752	United Kingdom	rdiachenko
4438	32	-9825543764	United Kingdom	milan_tom
4520	31	-3014630896	United Kingdom	ACShah
4855	31	-5627211745	United Kingdom	Ekuuleus
4868	31	-5693214198	United Kingdom	tkhomas
4871	31	-5697783050	United Kingdom	firemansamm
5102	31	-7024097576	United Kingdom	s0ward
5334	31	-8711638594	United Kingdom	Theodore
5396	31	-9374028928	United Kingdom	magicpoliceman
5559	22	-755737893	United Kingdom	gml16
5677	22	-910615264	United Kingdom	JQD
5825	22	-1049755107	United Kingdom	l_suicune
5855	22	-1070994386	United Kingdom	Breathe
5912	22	-1111676564	United Kingdom	TeddyJM
5944	22	-1143082726	United Kingdom	cameronshepherd
6013	22	-1196922449	United Kingdom	rob256
6091	22	-1264797986	United Kingdom	IanSleightholme
6169	22	-1319876603	United Kingdom	Fedy2
6224	22	-1361233527	United Kingdom	art.licis
6314	22	-1441642044	United Kingdom	kaspartu
6380	22	-1490917158	United Kingdom	matty_k
6644	22	-1735780838	United Kingdom	EwasWorld
6725	22	-1808914586	United Kingdom	pighead10
6913	22	-2026745034	United Kingdom	camcam
7035	22	-2148116445	United Kingdom	kristofarkas
7107	22	-2226163801	United Kingdom	Adithjey
7396	22	-2602100281	United Kingdom	Brasspots
7600	22	-2931450166	United Kingdom	pirosl
7647	22	-2972405965	United Kingdom	cospiequals0
7748	22	-3151669688	United Kingdom	pkpan
7919	22	-3447339970	United Kingdom	nlisgo
8050	22	-3739688101	United Kingdom	DavidChen
8119	22	-3900145384	United Kingdom	Woshiyizhixiaobai
8185	22	-4088775547	United Kingdom	rupr
8210	22	-4159903699	United Kingdom	rowebot
8241	22	-4241915227	United Kingdom	shicho
8653	22	-5893182272	United Kingdom	HSJ
8655	22	-5901520648	United Kingdom	BillyThornton
8724	22	-6316748759	United Kingdom	donelgnomo
8783	22	-6790447004	United Kingdom	Grigorov
8831	22	-7226653455	United Kingdom	JoshHeng
9011	19	-8010443586	United Kingdom	hgtz
9137	10	-3509170345	United Kingdom	Carisuuuuu
9218	10	-7001274978	United Kingdom	sainnr
9222	10	-7199147103	United Kingdom	TDove
9255	10	-8962760647	United Kingdom	Fee
9298	9	-9134604451	United Kingdom	MikeyMike31
9324	4	-2425880714	United Kingdom	triz
9330	4	-2557585721	United Kingdom	tbp
9423	4	-6399002602	United Kingdom	graeme
9463	0	0	United Kingdom	adi219
9463	0	0	United Kingdom	tnc1997
9463	0	0	United Kingdom	vahidgh
