Rank	Score	Penalty	Country	Name
2	19	-185351365	China	geyanlu
6	19	-193310776	China	conan1024hao
66	19	-290269551	China	daifei4321
103	19	-328735323	China	Neuromancer
126	19	-354799953	China	zzzzzzzero
141	19	-364739041	China	HiedanoAkyuu
142	19	-364815098	China	KisekiPurin2019
150	19	-371788592	China	muye67
181	19	-393976682	China	trort
198	19	-405579895	China	flyingmouse
201	19	-409395729	China	Yeah2333
225	19	-419393791	China	CanChen
248	19	-435522269	China	Dup4
271	19	-457221365	China	チノ
308	19	-548624980	China	erutan
313	0	0	China	freegyp
313	0	0	China	satchipear
313	0	0	China	yesheng
