Rank	Score	Penalty	Country	Name
6	77	-8581056197	Poland	Radewoosh
7	77	-8976920557	Poland	mnbvmar
19	65	-3994654773	Poland	Swistakk
27	65	-4428914452	Poland	Marcin.Smulewicz
29	65	-4454909054	Poland	voover
45	65	-5275293321	Poland	MajaTr
77	65	-6145587343	Poland	xman1024
110	65	-6685515636	Poland	cuber2460
112	65	-6751853682	Poland	staniewzki
113	65	-6756902293	Poland	shadowatyy
128	65	-7015839387	Poland	e-pluszak
129	65	-7030954331	Poland	jacynkaa
144	65	-7358556633	Poland	krismaz
154	65	-7496290983	Poland	Eryx
188	65	-8164448762	Poland	tomekp
194	65	-8226713247	Poland	sarutonix
198	65	-8284780263	Poland	pawelparys
202	65	-8356089270	Poland	znirzejskwarka
230	65	-8656087350	Poland	MicGor
250	65	-9085575994	Poland	aturko
252	65	-9092173484	Poland	Rzepa
259	65	-9215260889	Poland	bgrm
269	65	-9376728992	Poland	jjaworska
369	54	-8032375407	Poland	misztsu
406	54	-8747072898	Poland	w_
473	51	-6019207434	Poland	ania
515	51	-8948117044	Poland	stasio6
525	49	-4010394608	Poland	Errichto
543	49	-6749065571	Poland	kobor
593	49	-8521789865	Poland	MarcinMartowicz
707	40	-4564315705	Poland	agutowski
750	40	-8178025003	Poland	maras
789	39	-3511614224	Poland	kempusss
807	39	-4293882449	Poland	Linkus
824	39	-4810895555	Poland	Cams
834	39	-4992061713	Poland	eMBe
866	39	-5678752977	Poland	Fly_37
871	39	-5784707871	Poland	w0nsh
895	39	-6163630743	Poland	ggawryal
903	39	-6265430089	Poland	Wielomian
916	39	-6513234515	Poland	jamu
941	39	-7013853086	Poland	malylesio
944	39	-7052739962	Poland	m_opala
989	39	-7513846364	Poland	scezar
999	39	-7678578816	Poland	JKS
1025	39	-8155101432	Poland	natofp
1031	39	-8229090277	Poland	SirEmentaler
1056	39	-8678140846	Poland	MarcinMucha
1062	39	-8755257576	Poland	Konrad127123
1122	38	-6924113457	Poland	buko
1160	38	-8085714330	Poland	DomiKo
1222	38	-9405253720	Poland	pdwd
1278	35	-9228507014	Poland	adsz
1287	35	-10047496016	Poland	karol.kaszubki@gmail.com
1482	28	-4911305891	Poland	antguz
1508	28	-5185963154	Poland	~Asymmetry~
1529	28	-5433112399	Poland	piurko
1562	28	-5735229944	Poland	loK10
1564	28	-5783843841	Poland	Markadiusz
1576	28	-5907804498	Poland	Mindstorm
1594	28	-6102863959	Poland	ereonzis
1620	28	-6332575293	Poland	KeNaj712
1673	28	-6840596200	Poland	PMichalak
1677	28	-6882666745	Poland	boogen
1778	28	-7928109567	Poland	mati9988
1807	28	-8214430339	Poland	Thaid
2016	25	-6650208533	Poland	Mucosolvan
2025	25	-6800367290	Poland	anonim321
2063	25	-7753653241	Poland	tonowak
2087	25	-8343078412	Poland	rafal.maczewski@gmail.com
2148	24	-7609966478	Poland	ljaneczk
2241	19	-2094308379	Poland	NoobException
2242	19	-2143680487	Poland	Wazemo
2243	19	-2168094301	Poland	franciszek.malinka@gmail.com
2279	19	-2860085536	Poland	Gajowy
2283	19	-2912754222	Poland	Vax
2293	19	-2998276901	Poland	pavveu
2331	19	-3704891036	Poland	Bouncheck
2332	19	-3710156061	Poland	majkimge
2380	19	-4492874346	Poland	Arnyev
2402	19	-4789807550	Poland	pixeusz
2411	19	-4985041334	Poland	Kaboszon
2441	19	-5572375130	Poland	Qwrk
2459	19	-5817108383	Poland	Ztrk
2528	19	-7642995258	Poland	ptrj
2575	15	-3861156323	Poland	jperlin
2581	15	-6212024473	Poland	ilo12
2650	14	-2960064234	Poland	Mikpol
2695	14	-3991679350	Poland	rapast
2707	14	-4202049739	Poland	zglicz
2724	14	-4375327301	Poland	woocash33
2878	14	-6457888044	Poland	Adespawn
2992	14	-7305088338	Poland	Rakrab
3072	14	-8378144319	Poland	Nieznany
3088	14	-8628222539	Poland	CezaryChodun
3091	14	-8644721493	Poland	tygrysek
3264	5	-525487997	Poland	lasuch
3289	5	-621709869	Poland	kapitan
3346	5	-911243728	Poland	Vakula
3567	5	-3399456382	Poland	Akinorew
3619	5	-3946278901	Poland	danielkl
3620	5	-3947338276	Poland	kturowski
3720	5	-5043028038	Poland	grom13
3801	5	-6449987736	Poland	NaczelnyRachmistrz
