Rank	Score	Penalty	Country	Name
167	100	-5049057537	Australia	jerrymao
172	100	-5097500726	Australia	AngusRitossa
201	100	-5339295044	Australia	clementchiu1116@gmail.com
225	100	-5438199931	Australia	lackofcheese
348	100	-5945058751	Australia	ziruili
517	100	-6420693045	Australia	DanielA
526	100	-6439124117	Australia	Derp31415926
549	100	-6502936428	Australia	TheEpicCowOfLife
744	100	-6964578104	Australia	partiallyfinite
904	100	-7569525411	Australia	PSMao
1003	82	-5771264978	Australia	glipR_J
1010	82	-5975347276	Australia	wenqi
1046	82	-6701692760	Australia	al_Jahy
1047	82	-6714943885	Australia	ch41rmn
1063	82	-6930388896	Australia	dallasyan
1077	82	-7088580165	Australia	ysfoo5
1207	72	-6264874326	Australia	mchlzhao
1238	72	-6953934070	Australia	heidi@computerscience.co.nz
1333	65	-5947153070	Australia	sragavan
1451	63	-3152774388	Australia	boboquack
1643	63	-4634227659	Australia	spdskatr
1682	63	-4785178377	Australia	TheGhost
1684	63	-4790767594	Australia	mgcsls
1763	63	-5131034753	Australia	cdli
1827	63	-5371858252	Australia	iiliffe
1870	63	-5491529624	Australia	bluesky999
2079	63	-6077549164	Australia	ethryn
2128	63	-6215004405	Australia	nugn
2152	63	-6268553536	Australia	nakahara
2167	63	-6316452416	Australia	PwzXxm
2274	63	-6570570891	Australia	EdwinLiu
2294	63	-6612628050	Australia	JoelSpringer
2487	63	-7179605214	Australia	ZILIANG
2570	63	-7673176257	Australia	Jam-W
2641	47	-5040120475	Australia	heychell
2648	47	-5831146977	Australia	Ali.Kh
2655	47	-6061670366	Australia	erdnase
2660	47	-6534237459	Australia	kalford
2677	45	-2557284924	Australia	jbroeksteeg
2686	45	-3444828058	Australia	pkunsw
2747	45	-4941437344	Australia	HenryLee
2850	45	-5984308020	Australia	Vic112345
3098	42	-4984609430	Australia	kzl6
3143	40	-2668677039	Australia	Max.Godfrey
3181	40	-4266156815	Australia	RaymondGuo
3185	40	-4396604862	Australia	SuperTaiyaki
3209	40	-4976561471	Australia	yiyuewang
3211	40	-5012518199	Australia	greendrizzle
3224	40	-5191103098	Australia	HDSpray
3330	40	-6279491231	Australia	Raj123$$
3372	40	-6587391834	Australia	bananaphone
3524	37	-3112789648	Australia	DrMeers
3534	37	-3539164408	Australia	dmngu9
3592	37	-4933739084	Australia	peperwme
3600	37	-5130394274	Australia	roboto100
3604	37	-5130394274	Australia	roboto100
3790	35	-3338271012	Australia	ThePromisedNlogNLand
3820	35	-3711560873	Australia	jum
3904	35	-4579961179	Australia	sdort
3911	35	-4623024886	Australia	jjclxrk
3992	35	-5257552799	Australia	kluxa
4066	35	-5764203778	Australia	GavinJiang
4171	35	-6446600702	Australia	Bos-Taurus
4194	35	-6623785683	Australia	Kumagai
4246	35	-6946433301	Australia	Gomango999
4465	28	-1224005262	Australia	timothyhorsc
4532	28	-1842016000	Australia	tangentz
4572	28	-2117987525	Australia	trainsick
4864	28	-3301809677	Australia	Seamooo
4882	28	-3360071171	Australia	Megumin
4889	28	-3372856400	Australia	Majibow
4996	28	-3829054555	Australia	HydraulicSheep
5020	28	-3944551942	Australia	parker4cpk
5030	28	-3990195870	Australia	Lj
5173	28	-4575997811	Australia	mandishow
5250	28	-4838693886	Australia	AldenB
5338	28	-5147398108	Australia	HaydenMuscat
5346	28	-5168941187	Australia	gjam
5420	28	-5577434422	Australia	Gej
5508	28	-6064084711	Australia	alberts
5540	28	-6220831337	Australia	komisan
5674	28	-6904134865	Australia	ascholtes
5680	28	-6937515111	Australia	LukaDenies
5688	28	-6984764835	Australia	adamd
5729	28	-7305273731	Australia	cormacc
5881	13	-6946310388	Australia	dil12321
5934	10	-1519854938	Australia	Mheike86
5953	10	-1832510979	Australia	Cade51
6016	10	-2577549786	Australia	samma
6018	10	-2605637790	Australia	Perce1
6050	10	-2858484168	Australia	Drtnf
6078	10	-3109975540	Australia	Ben28LH
6140	10	-3670502458	Australia	kve
6187	10	-4060255775	Australia	Juddling
6220	10	-4260096127	Australia	IrfanAhmad
6282	10	-4733794548	Australia	iliagsy
6325	10	-5051244180	Australia	stuarth
6474	10	-6070847197	Australia	dane
6546	10	-6689940353	Australia	JustinLuong
6552	10	-6721748330	Australia	JKSH
6855	8	-7046795428	Australia	aleung27
6886	5	-951589762	Australia	anjsimmo
6988	5	-1744884369	Australia	g4g3
7068	5	-2068448940	Australia	Graceful
7186	5	-2559490700	Australia	katio
7387	5	-3351269262	Australia	semicolondelimiter
7448	5	-3633425289	Australia	Carlcodes
7468	5	-3697895052	Australia	vineyk24@gmail.com
7666	5	-4488025013	Australia	MattSuntup
7707	5	-4630383229	Australia	ewoko
7787	5	-4974985983	Australia	mkujaggi
7986	5	-6126014358	Australia	gjc
8102	5	-6794568098	Australia	Wozaila
8198	3	-2729558585	Australia	Zaphus
8259	3	-4330348136	Australia	rv3392
8301	3	-5186563671	Australia	emperormicah
8411	0	0	Australia	Flipblade
8411	0	0	Australia	K.zhang.jsb
8411	0	0	Australia	Midataur
8411	0	0	Australia	Myridium
8411	0	0	Australia	ProcessFit
8411	0	0	Australia	SpeedCoder001
8411	0	0	Australia	bluelenny
8411	0	0	Australia	ericzhu
8411	0	0	Australia	jakefitz
8411	0	0	Australia	mhwdvs
8417	0	0	Australia	TianmingZhao
8417	0	0	Australia	ajunwalker1
8417	0	0	Australia	anh072
8417	0	0	Australia	ccapitalK
8417	0	0	Australia	dada
8417	0	0	Australia	dardoo
8417	0	0	Australia	flowergrass
8417	0	0	Australia	harrysun2006
8417	0	0	Australia	hayden88
8417	0	0	Australia	jamesx.ji@gmail.com
8417	0	0	Australia	kalyke
8417	0	0	Australia	liam6
8417	0	0	Australia	mispelledname
8417	0	0	Australia	nervousginger
8417	0	0	Australia	obelic
8417	0	0	Australia	ryno8
8424	0	0	Australia	atamus
8424	0	0	Australia	boseranit
