Rank	Score	Penalty	Country	Name
171	100	-5117289647	Bangladesh	bertho_coder
242	100	-5605068107	Bangladesh	solaimanope
364	100	-6024596317	Bangladesh	Shefin
446	100	-6281545597	Bangladesh	alif_biswas
468	100	-6328651086	Bangladesh	_Dark_Shadow_
602	100	-6688661213	Bangladesh	Nirjhor
604	100	-6689983784	Bangladesh	ahshafi
661	100	-6821518484	Bangladesh	Anachor
674	100	-6845098038	Bangladesh	no0B
774	100	-7057299117	Bangladesh	avivilla
809	100	-7128960880	Bangladesh	_c_k_r_
830	100	-7206478357	Bangladesh	Sezan
891	100	-7367238452	Bangladesh	AmdSadi
1104	82	-6587408819	Bangladesh	i_love_nusrat
1223	77	-5877527740	Bangladesh	Shahidul1004
1236	77	-6502975683	Bangladesh	diponsaha007
1343	72	-7078507783	Bangladesh	sgtlaugh
1528	65	-7905711776	Bangladesh	Shakil_CoU
1578	63	-3564319522	Bangladesh	De.Wilde
1622	63	-4083002563	Bangladesh	wolve_rine
1634	63	-4128113377	Bangladesh	sabertooth_
1676	63	-4411295135	Bangladesh	ovis96
1691	63	-4510361716	Bangladesh	VUAcoder
1771	63	-4835846960	Bangladesh	s_h_shahin
1772	63	-4841292977	Bangladesh	ToErr
1845	63	-5146682628	Bangladesh	Iftekhar_Hakim_K
1852	63	-5178115087	Bangladesh	Jhamra
1888	63	-5347454831	Bangladesh	shakil.ahamed
1936	63	-5485672704	Bangladesh	Tasdidur
2048	63	-5821907248	Bangladesh	Ashiq100
2058	63	-5852843260	Bangladesh	kzvd4729
2111	63	-5987227692	Bangladesh	Maruf
2114	63	-5997371583	Bangladesh	NJRafi
2212	63	-6293920788	Bangladesh	Rajib_119
2314	63	-6552622198	Bangladesh	err0r
2317	63	-6560928756	Bangladesh	rezowaans
2386	63	-6754100250	Bangladesh	Samin
2456	63	-6939789416	Bangladesh	badassiumoxide
2590	63	-7334441973	Bangladesh	ash_98
2813	45	-4055059512	Bangladesh	astthecoder
2827	45	-4437607111	Bangladesh	Shajib_
2919	45	-5664086223	Bangladesh	sakibreza
2950	45	-5988757194	Bangladesh	Muhimin_Osim
3036	45	-6681339262	Bangladesh	bu_hridoy
3057	45	-6821327750	Bangladesh	Tahsin_Protik
3088	45	-6966862640	Bangladesh	Fiction
3116	45	-7178866320	Bangladesh	lelbaba
3144	45	-7395322553	Bangladesh	sudip95
3239	42	-7021983515	Bangladesh	sea_26
3258	40	-3084824698	Bangladesh	shakilaust
3378	40	-5644085737	Bangladesh	TheHalfBlo0dPrince
3582	40	-7349906811	Bangladesh	riz1ahmed
3610	40	-7797800317	Bangladesh	aviksaha.as8
3620	40	-8073535319	Bangladesh	NewbieNoob
3746	37	-5390730132	Bangladesh	mHr029
3864	35	-1934987507	Bangladesh	Tashfiq
4054	35	-4874039941	Bangladesh	Kawchar85
4182	35	-5799203706	Bangladesh	Raiyan1698
4205	35	-5958595746	Bangladesh	fuad036
