Rank	Score	Penalty	Country	Name
2	100	-2272702479	China	xyz111
12	100	-3135008858	China	sevenkplus
19	100	-3412215243	China	peehs_moorhsum
41	100	-3980392342	China	huzecong
47	100	-4058357509	China	JokerPoker
52	100	-4122456307	China	cnjzxy
53	100	-4136493045	China	goalboy1015
54	100	-4155185276	China	zerotrac2
60	100	-4200866768	China	ohweonfire
61	100	-4203423246	China	ACMonster
119	100	-4823101330	China	subconscious
132	100	-4910821038	China	fizzydavid
157	100	-5035375769	China	yanghong
171	100	-5171146223	China	Ahyangyi
179	100	-5239038931	China	wifiii
185	100	-5280647013	China	xzj1997
191	100	-5343398671	China	jmzhao
206	100	-5401956857	China	Hysteria
210	100	-5414720780	China	gispzjz
213	100	-5426364811	China	crawarb
230	100	-5571341530	China	Toby
260	100	-5701822628	China	FRZZZ
289	100	-5802768867	China	kexunz
296	100	-5819619846	China	jfguo
303	100	-5850179664	China	JTJL
305	100	-5854162804	China	Mcginn
308	100	-5857043700	China	suzyzhang
320	100	-5893730485	China	ultrasuperAnnie
325	100	-5912057447	China	moneyDragon
328	100	-5928216795	China	Coooming
338	100	-5952462420	China	laekov
341	100	-5960842987	China	lzw4896s
350	100	-5993821453	China	ctlchild
351	100	-5999022432	China	watashi
356	100	-6032457254	China	TsReaper96
367	100	-6080125346	China	askl123
369	100	-6084319313	China	Srdce
375	100	-6102962035	China	Smartly
376	100	-6109033603	China	convexyz
384	100	-6120400073	China	lxhgww
397	100	-6184439981	China	elfness@163.com
401	100	-6197989649	China	FUJIWARA_SAI
407	100	-6209189037	China	_ala__
411	100	-6213976743	China	mghzs1997
412	100	-6214313127	China	weaverzhu
428	100	-6249869892	China	trort
439	100	-6283063233	China	aboluo2003
441	100	-6284446337	China	Neuromancer
448	100	-6306733314	China	daltao
453	100	-6316205720	China	Renatus
470	100	-6361601591	China	sdhyabc
473	100	-6365746873	China	zhongzihao
478	100	-6384514229	China	MAOoo
479	100	-6388147549	China	RoBa
481	100	-6389308128	China	ssstare
483	100	-6391721343	China	lozy
489	100	-6408536322	China	Zayin
490	100	-6409351565	China	noname512
498	100	-6421345088	China	ppppaidy
499	100	-6424776599	China	nocriZ
502	100	-6431385398	China	jxwuyi
515	100	-6455357764	China	bakapiano
522	100	-6477366627	China	SJoshua
523	100	-6479357154	China	SuperSodaSea
529	100	-6508048523	China	YangDavid
533	100	-6525777242	China	994495jj
534	100	-6527486836	China	Otemeyeah
535	100	-6548074014	China	shenzhentong
549	100	-6585938183	China	Itst
557	100	-6607598590	China	Chelly
581	100	-6668159821	China	cjc
583	100	-6676529327	China	llgyc
591	100	-6689947796	China	EndlessCheng
607	100	-6729648041	China	vici
614	100	-6764773281	China	triple__a
630	100	-6792169558	China	xiaodao
635	100	-6796490523	China	Heltion
636	100	-6796948540	China	yplusplus
644	100	-6809977679	China	FTS
659	100	-6842603600	China	tennkei
670	100	-6861507523	China	AlanWaP
678	100	-6879926662	China	Reku
684	100	-6892211567	China	guogai
703	100	-6933947839	China	ShakuganSky
711	100	-6951883894	China	lastans7
721	100	-6968973501	China	MyLegendaryTime
727	100	-6980840308	China	zyyyyy
728	100	-6984918163	China	冷月冰瞳
740	100	-7011529947	China	cwystc
753	100	-7031676849	China	rtxxx
758	100	-7054652189	China	wuluxun
762	100	-7060537487	China	bit.yangxm
778	100	-7096250139	China	MadeByMars
786	100	-7114002809	China	LTzycLT
791	100	-7123350272	China	Jacky_He
792	100	-7125146719	China	ghbghb
798	100	-7144624379	China	daizhenyang
799	100	-7144638080	China	lsmll
801	100	-7146033228	China	rowdark
805	100	-7156976663	China	Zory
822	100	-7215695217	China	任琪宇
824	100	-7217712728	China	XLor
825	100	-7218272388	China	lujcmss
827	100	-7220620352	China	WNJXYK
836	100	-7252038840	China	Augusta_
840	100	-7262586102	China	badcw
843	100	-7270313306	China	sysulby
844	100	-7271848688	China	jkxjkx1031@163.com
849	100	-7289872581	China	Neroysq
866	100	-7318057609	China	fuzhiji
869	100	-7326319779	China	killer.z
871	100	-7331632971	China	jizhenjun
902	100	-7387868004	China	muye67
907	100	-7403936402	China	yhf
914	100	-7437916927	China	rabbit_lb
916	100	-7442545865	China	AkiraZhao
926	100	-7469568936	China	737
934	100	-7487585303	China	yich7_23
953	100	-7550872540	China	XPCHF
961	100	-7578004689	China	foreseeable
962	100	-7579436478	China	lucifer1004
972	100	-7595916730	China	Spockkk
985	100	-7641993696	China	lengly
1019	100	-7798353946	China	luoxinchen96@gmail.com
1026	100	-7826370887	China	zerolin
1027	100	-7830145472	China	white_noise
1035	100	-7876954037	China	T1an
1037	100	-7879854576	China	oql
1045	100	-7947190618	China	YvesChan
1058	100	-8084638987	China	Riatre
1061	100	-8103812524	China	andwho
1063	100	-8121596116	China	xyw5vplus1
1064	100	-8122481639	China	cillinzhang
1065	100	-8128874637	China	EternalAnswer
1071	100	-8199703553	China	chenyu0x00
1079	100	-8370073944	China	OTTFF
1080	100	-8371092731	China	hyta4982
1082	100	-8406147101	China	Dup4
1085	100	-8442034583	China	cy1999
1164	82	-6539260448	China	Neal2020
1188	82	-6919847925	China	yujian
1200	82	-7044055491	China	chenxiaoqino
1201	82	-7050825643	China	davidguan
1203	82	-7084219392	China	b3ng
1221	82	-7265224269	China	huaiyan
1228	82	-7308314795	China	indestinee
1229	82	-7336461900	China	Barty
1242	82	-7625245947	China	Gotz_X
1282	77	-5552434273	China	jren
1294	77	-5933504389	China	rzhzhr
1301	77	-6344411285	China	IwfWcf
1348	77	-7795021299	China	acesine
1358	72	-4739845060	China	daifei4321
1374	72	-6113530822	China	Afei
1393	72	-6620564790	China	weifeng2356
1397	72	-6775383578	China	Whisdangist
1406	72	-6981012799	China	simonnn
1418	72	-7191854433	China	StarrySky
1424	72	-7268702367	China	shiuang
1427	72	-7409726605	China	Frozensmile
1448	68	-6746241534	China	yuhangrao
1461	68	-7629582155	China	xxrl
1472	65	-3676472522	China	huizew
1493	65	-5083808839	China	HJWJBSR
1506	65	-5444207062	China	wuzhengkai
1507	65	-5445827634	China	bosskong
1508	65	-5580669840	China	Loct
1521	65	-5951198756	China	cjt2004
1540	65	-6449108896	China	ddstone
1541	65	-6451430971	China	Paulliant
1542	65	-6451767367	China	cokoro_728
1545	65	-6499525772	China	白衣少年
1546	65	-6538372478	China	hdu.toraoh
1547	65	-6546300543	China	Clouds
1554	65	-6651565580	China	Ka_Bar
1557	65	-6739726021	China	JasonWH
1579	65	-7075953593	China	z-x_x-z
1583	65	-7125636842	China	qingyu05300
