Rank	Score	Penalty	Country	Name
64	100	-4205230825	Egypt	MohamedAhmed04
134	100	-4846866199	Egypt	Kharouba
299	100	-5779823497	Egypt	mohammedehab2002
414	100	-6169500436	Egypt	AhmedElsisy
492	100	-6345122531	Egypt	ziad_abdelkader
755	100	-7010767881	Egypt	Alimagde
870	100	-7700482440	Egypt	Bohoty
877	100	-7800737649	Egypt	Triplem5ds
902	82	-4567852509	Egypt	ibrahim.habib
913	82	-5308224918	Egypt	aka.Sohieb
991	82	-6908049438	Egypt	AhmedSalem
1020	82	-7364442915	Egypt	Artful-Dodger
1095	77	-7010870700	Egypt	Ahmed-
1149	72	-6569130770	Egypt	AhmadMamdouh
1163	72	-6921328011	Egypt	Muhammad.Magdi
1279	65	-6227046317	Egypt	HassanOsama10
1331	65	-7266404764	Egypt	Laggy
1335	65	-7601156560	Egypt	TheSawan
1635	63	-4881025738	Egypt	Wolf.
1642	63	-4896692005	Egypt	Bakkar-
1689	63	-5111672149	Egypt	Hemose
1730	63	-5265545322	Egypt	YousefSalama
1809	63	-5467362308	Egypt	mohamednabil00000
1827	63	-5503724917	Egypt	kaelhawaty
2086	63	-6176528803	Egypt	Ahmed_Alansary
2224	63	-6541080948	Egypt	Bekh
2235	63	-6558666324	Egypt	Amr.Aboshama
2413	63	-7061591416	Egypt	Sarah_Abdelkhalek
2448	63	-7253247347	Egypt	Moaz_Eldefrawy
2514	63	-7863428213	Egypt	HussienIbrahiem
2679	45	-5061436408	Egypt	El-Nebo
2927	45	-6946922659	Egypt	shiko
3052	40	-3053386812	Egypt	Astaa
3157	40	-5459747094	Egypt	karemo
3331	40	-6874482454	Egypt	It_Wasnt_Me
3409	37	-3062355842	Egypt	AbdAlrahman.Yousry
3757	35	-4053543607	Egypt	Mone'm
3853	35	-4996298152	Egypt	KhaledRezk
3900	35	-5318861229	Egypt	Hadi_Elnemr
3917	35	-5447659136	Egypt	Hydroxide
3957	35	-5723981092	Egypt	Mo7amed_Sayed
4265	31	-5959110592	Egypt	Aymanm419
4277	31	-6194743709	Egypt	MyLifeIsMisery
4304	31	-6744539141	Egypt	HossamDoma
4666	28	-2970890333	Egypt	Woofy_man
4771	28	-3311029097	Egypt	_Samir
4942	28	-3990213253	Egypt	ahmedamr
5011	28	-4260424655	Egypt	VeRgZ
5191	28	-4904666672	Egypt	CodeJaam
5214	28	-4968180465	Egypt	mostafaa
5233	28	-5048909369	Egypt	noser
5290	28	-5245727470	Egypt	AhmedEzzatG
5299	28	-5289174723	Egypt	KhaledKEE
5316	28	-5382951701	Egypt	MohamedElhawaty
5635	28	-7114195852	Egypt	IsmailAkram
5728	13	-5621464347	Egypt	Elwazer74
5731	13	-5741696717	Egypt	ABE_Mark45
5770	13	-6488655463	Egypt	7sm
5788	13	-6858452135	Egypt	Moagza
5803	13	-7072798331	Egypt	Khaled.Emad
5815	13	-7233863731	Egypt	Ghieath
5929	10	-2654037812	Egypt	kemo
5967	10	-3001134786	Egypt	Ziad
6104	10	-4093588093	Egypt	7amasa
6105	10	-4095382119	Egypt	AsamirA
6115	10	-4156836787	Egypt	zoz
6130	10	-4247714483	Egypt	basmatamer
6234	10	-4951775685	Egypt	amr_abdelazim
6250	10	-5066075303	Egypt	omarosamadiab10@gmail.com
6277	10	-5215135634	Egypt	shokrof
6341	10	-5675230650	Egypt	NAshraf
6356	10	-5768201580	Egypt	mf.kasim
6399	10	-6050141016	Egypt	BlackHack
6441	10	-6332887138	Egypt	Sallamy
6539	10	-7195018844	Egypt	gadm43
6627	8	-4465136916	Egypt	Higazy
6653	8	-5062981084	Egypt	SilverPeter
6791	5	-787653066	Egypt	Uzumaki_Narutoo
6820	5	-1284345278	Egypt	NightKing00
6987	5	-2072209225	Egypt	AbdelrahmanNaser
7098	5	-2489164017	Egypt	omar
7110	5	-2535860229	Egypt	amrhassanAHG
7156	5	-2690374067	Egypt	Ahmed_Amin
7255	5	-3140244201	Egypt	Zoma17
7346	5	-3482341998	Egypt	Tina_Farag
