Score	Penalty	Country	Name
100	-3693408645	Singapore	pwypeanut
100	-4174586674	Singapore	HuaJun07
100	-4606863273	Singapore	estelle0500
100	-5368377784	Singapore	0rang3
100	-5384360320	Singapore	errorgorn
100	-5608833020	Singapore	socho
100	-5855686725	Singapore	dantoh000
100	-6495490151	Singapore	damianhxy
82	-6642733699	Singapore	Zheyuan
65	-3231665262	Singapore	TrueBamboo
65	-3917260073	Singapore	lovemathboy
65	-4772429667	Singapore	nzqrc
65	-5504281331	Singapore	czxcjx
65	-5542936582	Singapore	chorn
63	-2803406697	Singapore	limli
63	-2908958652	Singapore	sampletext
63	-3146554493	Singapore	spritebyte
63	-3167563878	Singapore	oneplusone
63	-3252015197	Singapore	andyk
63	-3337359926	Singapore	4yn
63	-3625519099	Singapore	pohzipohzi
63	-3851426765	Singapore	fenwicktree
63	-3878831736	Singapore	SmileyFace
63	-3910838948	Singapore	jamielim
63	-4600535713	Singapore	lichenkoh
63	-5325027613	Singapore	lwz
63	-5426328358	Singapore	Mickey1356
63	-5481875749	Singapore	some_username
63	-5856109242	Singapore	bensonlzl
37	-4738198132	Singapore	stephng3
35	-3192382289	Singapore	Rohit0718
35	-3367703150	Singapore	ooozy
35	-3634259356	Singapore	Shio
35	-3775410571	Singapore	xsot
35	-3798329698	Singapore	rocketninja7
35	-4122155057	Singapore	pjd
35	-4268220004	Singapore	bayweiheng
35	-4354776454	Singapore	funy
35	-4472239219	Singapore	jyz
35	-5085491408	Singapore	MichaelJing
35	-5215226847	Singapore	AndrewZYX
31	-4753123229	Singapore	ssp547
31	-4853791406	Singapore	skytect
31	-5450210552	Singapore	gylfruit
28	-1552107483	Singapore	BetterThanNobita
28	-1708853765	Singapore	jacobtpl
28	-1897514380	Singapore	meeeep
28	-2607019620	Singapore	wingsYouAretheHero
28	-2755248392	Singapore	btzy
28	-2980796630	Singapore	JasonLee
28	-3159655075	Singapore	Acceleraizer
28	-3216100480	Singapore	yaochie
28	-3587326022	Singapore	cyberhuman
28	-4323557065	Singapore	pvtuan10
28	-5033837266	Singapore	tanmaydatta
28	-5389970962	Singapore	dreamrunner
28	-5681299914	Singapore	MilkTeaCoffee
28	-5868541459	Singapore	mzy
10	-1467884818	Singapore	RRtheonlyone
10	-2490714904	Singapore	mingyiteo@gmail.com
10	-3028436391	Singapore	yilunzhu
10	-3274750829	Singapore	swkj
10	-3829811984	Singapore	Josiah
10	-4233551975	Singapore	ketigid@gmail.com
10	-5033149773	Singapore	yingying2019
10	-5218414621	Singapore	9mat
10	-5233380824	Singapore	Cricketer
10	-5907267466	Singapore	Varun2101
10	-6186569112	Singapore	Chronolegend
8	-3467708628	Singapore	hchin
8	-5708899089	Singapore	curvemurve
5	-1726578329	Singapore	zhuhanming
5	-2260930552	Singapore	lemiao
5	-2359340327	Singapore	ttj
5	-2623893744	Singapore	xTheBHox
5	-3023655854	Singapore	helloWorld1401
5	-3458334449	Singapore	smort_callie
5	-3679379825	Singapore	anvnguyen
5	-3976678855	Singapore	emilyong
5	-4294412431	Singapore	AlexPrk
5	-5274768876	Singapore	uphchjy15
3	-2816513422	Singapore	FridayFaerie
3	-4941003806	Singapore	jiahng
0	0	Singapore	8R!
0	0	Singapore	JustAWallaby
0	0	Singapore	Rawn_Yogn
0	0	Singapore	SYY
0	0	Singapore	cly753
0	0	Singapore	douasin
0	0	Singapore	jq
0	0	Singapore	jyong
0	0	Singapore	lin_huiqing
0	0	Singapore	mariannacao
0	0	Singapore	mesaliason
0	0	Singapore	owl10124
0	0	Singapore	prashantrar
0	0	Singapore	siddhanjay
0	0	Singapore	siegetanks
0	0	Singapore	xiaodong123
