Rank	Score	Penalty	Country	Name
159	100	-5280054057	United Kingdom	SpaceDog
163	100	-5317433974	United Kingdom	Paul.T
407	100	-6360450738	United Kingdom	TeddyJM
415	100	-6381640536	United Kingdom	Gigz
480	100	-6587028824	United Kingdom	Twillo
712	100	-7197031667	United Kingdom	CongChen
975	100	-7745709110	United Kingdom	DavidEdey
1097	100	-7990996363	United Kingdom	HSJ
1263	100	-8312948661	United Kingdom	firemansamm
1336	100	-8464928989	United Kingdom	Artho
1427	100	-8687183662	United Kingdom	vii
1443	100	-8735998888	United Kingdom	PaulJefferys
1500	100	-8913609540	United Kingdom	fanache99
1644	82	-5978633399	United Kingdom	gudavid
1800	82	-8453529138	United Kingdom	bens
1967	77	-9176636176	United Kingdom	beetree
1978	72	-5146581073	United Kingdom	BargaviC
2167	65	-7723817384	United Kingdom	andy11111
2555	63	-6016175812	United Kingdom	carrexxon
2846	63	-7174568552	United Kingdom	amir.hkkh
2894	63	-7336346148	United Kingdom	ndkrempel
2921	63	-7442264113	United Kingdom	JohnSmith
2981	63	-7637356705	United Kingdom	peternal.flame
3050	63	-7831877845	United Kingdom	shopel
3192	63	-8260505945	United Kingdom	akraievoy@gmail.com
3399	47	-7656642996	United Kingdom	timwangdev
3823	45	-8348072513	United Kingdom	kevlee
3851	45	-8604106397	United Kingdom	toonjim89
3944	42	-7056116650	United Kingdom	milan_tom
3961	42	-7921868634	United Kingdom	iivvaann.andreev@gmail.com
4281	40	-7818469994	United Kingdom	gc.code
4296	40	-7944408328	United Kingdom	Zherui
4301	40	-7967512579	United Kingdom	upriser7
4358	40	-8497567899	United Kingdom	rdiachenko
4582	37	-7663723074	United Kingdom	DayDreamer007
4609	37	-7986641279	United Kingdom	twindebank
4616	37	-8141205819	United Kingdom	andrewwwwwwwww
4773	35	-4773069977	United Kingdom	maowtm
5074	35	-7466530879	United Kingdom	Binnie
5223	31	-4456012583	United Kingdom	nk17kumar
5271	31	-6713381673	United Kingdom	rob256
5297	31	-7300441500	United Kingdom	JosephC
5739	28	-3607447097	United Kingdom	trilobite
5748	28	-3662623563	United Kingdom	l_suicune
5808	28	-4079204908	United Kingdom	wasi.ahmed
5967	28	-4919610617	United Kingdom	Sorcerer_M
6052	28	-5440005358	United Kingdom	quantumpunk
6095	28	-5713756223	United Kingdom	Roman1
6591	13	-7713142664	United Kingdom	adi219
6720	10	-2641583147	United Kingdom	Carisuuuuu
6733	10	-2806412685	United Kingdom	sainnr
7002	10	-5731531401	United Kingdom	ananos
7035	10	-6017464039	United Kingdom	vognam
7159	10	-7437216762	United Kingdom	pkay1947
7263	10	-8719741252	United Kingdom	idol
7397	8	-6609617649	United Kingdom	graeme
7479	8	-8704917502	United Kingdom	Quack
7576	5	-1667691419	United Kingdom	westonian
7710	5	-2308911069	United Kingdom	archmenzies
7825	5	-2823941412	United Kingdom	timothy-ch-cheung
7985	5	-3559092965	United Kingdom	Tan()
8306	5	-5092820917	United Kingdom	Emm123e
8551	5	-6781929785	United Kingdom	Doktora
8713	5	-7959438391	United Kingdom	Adithjey
8731	5	-8042676147	United Kingdom	lucylichenhui
9041	3	-8261530512	United Kingdom	LopiEPilo
9061	0	0	United Kingdom	hgtz
9061	0	0	United Kingdom	magicpoliceman
9061	0	0	United Kingdom	rupr
9063	0	0	United Kingdom	Greatlemer
9063	0	0	United Kingdom	MikeyMike31
9063	0	0	United Kingdom	harrs103
9063	0	0	United Kingdom	pkpan
